@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute zero numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@attribute useless33 numeric
@attribute useless34 numeric
@attribute useless35 numeric
@attribute useless36 numeric
@attribute useless37 numeric
@attribute useless38 numeric
@attribute useless39 numeric
@attribute useless40 numeric
@attribute useless41 numeric
@attribute useless42 numeric
@attribute useless43 numeric
@attribute useless44 numeric
@attribute useless45 numeric
@attribute useless46 numeric
@attribute useless47 numeric
@attribute useless48 numeric
@attribute useless49 numeric
@attribute useless50 numeric
@attribute useless51 numeric
@attribute useless52 numeric
@attribute useless53 numeric
@attribute useless54 numeric
@attribute useless55 numeric
@attribute useless56 numeric
@attribute useless57 numeric
@attribute useless58 numeric
@attribute useless59 numeric
@attribute useless60 numeric
@data
2.2,'yes',0,0.415924899745733,0.92529111285694,0.55373172648251,0.319823222467676,0.465390098979697,0.186060231644660,0.20212729787454,0.91158806416206,0.496446364326403,0.0518621043302119,0.632069997489452,0.118742273189127,0.479077466763556,0.530174246290699,0.478082782588899,0.219802925130352,0.493856932036579,0.0757821002043784,0.360002330038697,0.802465772721916,0.0715511911548674,0.369637134950608,0.527321776375175,0.158254360547289,0.24701436702162,0.785837596748024,0.804947662167251,0.491012686630711,0.203820168040693,0.917522988282144,0.36942029139027,0.493150150869042,0.595355347730219,0.898661106126383,0.595115181524307,0.82932832883671,0.698602500837296,0.492321074707434,0.79859831277281,0.418385676573962,0.707529362291098,0.90747246099636,0.602903312072158,0.199500288115814,0.266320996452123,0.239993936382234,0.779217862291262,0.230246533639729,0.257649693172425,0.836890129838139,0.284699993673712,0.93432580307126,0.706805186579004,0.731971590779722,0.287862174445763,0.9644343086984,0.523718308890238,0.276848704088479,0.217719761654735,0.259988758713007
1.505,'no',0,0.954127268632874,0.715504739200696,0.964610809227452,0.112490742933005,0.734165039146319,0.00573347206227481,0.652830620063469,0.921488813357428,0.596827330067754,0.922639039112255,0.394518906949088,0.188761882251129,0.340007020160556,0.360966813983396,0.711474709678441,0.998715312685817,0.688393317395821,0.85808179504238,0.00684954458847642,0.983082987368107,0.163799402303994,0.0804653880186379,0.561146188993007,0.151158118154854,0.0384453637525439,0.8174903485924,0.886516365688294,0.11186822806485,0.329034745926037,0.543111982522532,0.5180662360508,0.341148308943957,0.47187710320577,0.0951352803967893,0.902533068554476,0.841251657577232,0.619799370178953,0.181039585731924,0.791887444444,0.901222201064229,0.697878860868514,0.251281527569517,0.495865328935906,0.0593676285352558,0.653437362285331,0.00591584271751344,0.295575389871374,0.94137071003206,0.963044673204422,0.856896907789633,0.875504528405145,0.996639774180949,0.6718770256266,0.618310683872551,0.33142124582082,0.263081589713693,0.110308840405196,0.302288544364274,0.730647563934326,0.160248586675152
1.51,'yes',0,0.799447745317593,0.092804104089737,0.829469235846773,0.697195362765342,0.223011500667781,0.602427628356963,0.173417002893984,0.36108119902201,0.59834944200702,0.938866355456412,0.0859162653796375,0.57587531581521,0.759467428084463,0.524051437154412,0.960059587843716,0.752427118364722,0.761295773321763,0.317086592549458,0.586811807006598,0.621349795488641,0.420004640240222,0.493530726758763,0.943665215279907,0.190111035481095,0.503819362027571,0.922545892186463,0.1373609774746,0.57852727570571,0.703132203314453,0.0424883689265698,0.808983412804082,0.0267140327487141,0.323016971582547,0.192926046904176,0.400689605856314,0.64959013974294,0.0706683942116797,0.221132109640166,0.454351550200954,0.705795878078789,0.90636249887757,0.989789257990196,0.0317124989815056,0.521788291400298,0.998123823897913,0.481397109571844,0.663719745818526,0.702238123863935,0.606066488660872,0.321908362209797,0.815676582278684,0.796925366856158,0.97475673747249,0.796997536206618,0.676749943057075,0.921927473973483,0.537586289457977,0.804363621631637,0.790583595633507,0.848696219734848
2.602,'yes',0,0.762180362828076,0.611376829678193,0.306646851124242,0.914483564440161,0.280716723762453,0.0622431382071227,0.601119780680165,0.322490576887503,0.185745702590793,0.495906687574461,0.0271559138782322,0.514500116463751,0.808294289978221,0.521916639292613,0.260929743060842,0.125500944675878,0.797524835215881,0.496408257866278,0.527001235866919,0.89154250593856,0.571607648162171,0.131702729500830,0.0287674835417420,0.438173864968121,0.0147421890869737,0.41833323193714,0.831681752111763,0.494036068674177,0.306600932730362,0.823444973910227,0.385587808676064,0.872519795550033,0.441518530715257,0.0799870525952429,0.196455601602793,0.265053120674565,0.409237151034176,0.765015092445537,0.597508568316698,0.127628707559779,0.618052536156029,0.905446312157437,0.959154354408383,0.626492829993367,0.644554030615836,0.188519455725327,0.051945589017123,0.646141774952412,0.264539015246555,0.282335555180907,0.891818792326376,0.364979239879176,0.955409050686285,0.311684918124229,0.378068145830184,0.791664326563478,0.0164997221436352,0.397785855224356,0.388122605159879,0.791791431605816
0.757,'no',0,0.215563879115507,0.658315523061901,0.909177654189989,0.436153633287176,0.597077589016408,0.366093628341332,0.796707577072084,0.350603373488411,0.327403208706528,0.92396425944753,0.995826854370534,0.33531208219938,0.417080507613719,0.144650876754895,0.440548738930374,0.302847161423415,0.354105953592807,0.670063936617225,0.71814833744429,0.756898083491251,0.652729128487408,0.108419301686808,0.847088781418279,0.596394402906299,0.726110136834905,0.0848866023588926,0.192411837168038,0.429333516629413,0.892053232062608,0.761000619735569,0.720315363956615,0.56281297840178,0.756496485322714,0.72708315658383,0.217292765853927,0.655282948864624,0.441603624261916,0.987448182655498,0.195533787366003,0.712677194736898,0.471293154871091,0.80370279867202,0.63033815426752,0.703595092287287,0.312653207918629,0.533142897998914,0.0813636507373303,0.116109053837135,0.0436504979152232,0.0733556828927249,0.736313679488376,0.586671411059797,0.545062506105751,0.0793845888692886,0.766868976410478,0.276732881553471,0.347392635885626,0.280294688185677,0.901412890059873,0.937207116745412
0.125,'yes',0,0.0772597680334002,0.182143749436364,0.348310265922919,0.985809288686141,0.736090234713629,0.709692586446181,0.776596797630191,0.451772041153163,0.308677622582763,0.822488955687732,0.941162375966087,0.766160771716386,0.135348395444453,0.576637031044811,0.0308818083722144,0.264557548100129,0.671222026227042,0.944221177371219,0.507497831247747,0.124907481251284,0.238722938811406,0.162088424665853,0.925283816177398,0.921123242471367,0.202068712795153,0.828179006231949,0.795335890725255,0.571704697562382,0.874166786670685,0.956055712187663,0.387782756239176,0.274543132167310,0.0596513871569186,0.625717058079317,0.973012099973857,0.213203341467306,0.849768428364769,0.68191888765432,0.654470757348463,0.846059417817742,0.304954759543762,0.281695604557171,0.802707332186401,0.0328250338789076,0.37519494863227,0.511993691790849,0.863062121672556,0.660109737422317,0.958529165480286,0.0629250591155142,0.191424150485545,0.605289952130988,0.735175690846518,0.954575528623536,0.163486714940518,0.0326167098246515,0.908358027925715,0.590964533388615,0.499872537096962,0.294222546508536
0.258,'no',0,0.44063138240017,0.99543616664596,0.513878501020372,0.494877112098038,0.82511390838772,0.422246341593564,0.700020263902843,0.531424763146788,0.213413208257407,0.396431266330183,0.54070199187845,0.714172044303268,0.0646974069532007,0.211803889134899,0.224265654338524,0.0931801307015121,0.831045311875641,0.837172705447301,0.670215947320685,0.54920150199905,0.608173593878746,0.799643724923953,0.453052720520645,0.830408209003508,0.885828108759597,0.608112740097567,0.384281150996685,0.0141693127807230,0.0664478323888034,0.88456037081778,0.450615529203787,0.672010008478537,0.39377224072814,0.28531374107115,0.064621586818248,0.420469553209841,0.531201732810587,0.487989700166509,0.137930046999827,0.677847120445222,0.833998570684344,0.866066141985357,0.0844391423743218,0.96566833741963,0.210246192757040,0.783773802919313,0.404949145391583,0.982757995836437,0.566924237413332,0.977085195248947,0.454624110367149,0.862212582491338,0.150432449067011,0.679576948983595,0.128519342280924,0.719656376400962,0.97661471599713,0.365361967822537,0.941885783337057,0.937281400663778
3.686,'no',0,0.690451047383249,0.295783863868564,0.0991592821665108,0.760310576297343,0.377393343951553,0.841899059945717,0.460463325725868,0.968467484461144,0.655489345546812,0.944715823046863,0.393438722239807,0.480400475673378,0.910385719966143,0.516676719300449,0.502744094002992,0.131978870369494,0.490358687238768,0.199225035496056,0.681272686226293,0.587089364184067,0.822655153926462,0.0397878172807395,0.0358130349777639,0.153337529860437,0.0789989833720028,0.761881545418873,0.888020361540839,0.411752418614924,0.903560726437718,0.141996234655380,0.262568876380101,0.800078980391845,0.306881641503423,0.861774403601885,0.269722692202777,0.275691484566778,0.169812983134761,0.645730460295454,0.209610081976280,0.596320495242253,0.223150768550113,0.368192325579002,0.234545712126419,0.604857947444543,0.128771779825911,0.171518959803507,0.882358116330579,0.888856163015589,0.133310226956382,0.834516719914973,0.810003733728081,0.720640922198072,0.36816466669552,0.404822973767295,0.413651052163914,0.216353406896815,0.594586274120957,0.980311698047444,0.617760587250814,0.934387488057837
2.43,'yes',0,0.291422859532759,0.246694656321779,0.668159981491044,0.85999444918707,0.731964022386819,0.286712592002004,0.141862638294697,0.0881025174167007,0.0891657192260027,0.259871735004708,0.31423541973345,0.435099679976702,0.78879515081644,0.0466692224144936,0.75841561681591,0.97388279857114,0.132012130692601,0.212171908700839,0.737378493417054,0.907485393574461,0.613504957407713,0.68802951532416,0.400374465156347,0.855526334606111,0.358170483494177,0.197038860293105,0.6231199267786,0.531339566456154,0.4416463393718,0.957024523522705,0.142843744019046,0.529574322979897,0.322382048470899,0.733682558173314,0.476347789634019,0.447285323170945,0.567854987457395,0.252924206200987,0.85897982120514,0.79234150215052,0.314975266344845,0.7091699691955,0.860658555058762,0.575453349156305,0.927235441515222,0.633850706275553,0.818275813711807,0.653602303471416,0.33539293310605,0.39916540007107,0.58341000485234,0.979847344337031,0.895775203825906,0.425785509636626,0.152796933660284,0.523911892669275,0.389569540973753,0.866998685989529,0.503209252841771,0.140708858845755
1.331,'no',0,0.899355197325349,0.699954917421564,0.93639026535675,0.319823395228013,0.148593281395733,0.521835643099621,0.0837547285482287,0.0935295685194433,0.24153317976743,0.334935906343162,0.64035657607019,0.634191003628075,0.366983194835484,0.327199524734169,0.5603017937392,0.68326866463758,0.47086804616265,0.181265720864758,0.407566300127655,0.888690928695723,0.408843170385808,0.716439977986738,0.853208596585318,0.350969024002552,0.712865284411237,0.613237995421514,0.526911116205156,0.318080246681347,0.321542868157849,0.871942649362609,0.291108744218946,0.478679041843861,0.838304193224758,0.856098376447335,0.462330949725583,0.550702255452052,0.0608766402583569,0.0637245438992977,0.429495088057593,0.281271689338610,0.835357536096126,0.314600510522723,0.293267498956993,0.855749634793028,0.220951257972047,0.773124895291403,0.784349237801507,0.901231319177896,0.63428333774209,0.260043287882581,0.555289538577199,0.151979379588738,0.349213081179187,0.201958592748269,0.79257135395892,0.567927200580016,0.362621796317399,0.111545484280214,0.771337331272662,0.707431216025725
