@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
0.297,'no ',0,0.242964048869908,0.14661982585676,0.380993200466037,0.334382745902985,0.269155103946105,0.386138186091557,0.582803323166445,0.89661173755303
2.2,'yes',0,0.756177258212119,0.874591330066323,0.690879530739039,0.415123054757714,0.74990021251142,0.16387872165069,0.191049394430593,0.751787673449144
1.505,'no ',0,0.276476533384994,0.213315571425483,0.883379392558709,0.233721921220422,0.287280585151166,0.664757575606927,0.220478220609948,0.79419330577366
1.51,'yes',0,0.582930045435205,0.181671709986404,0.799522954272106,0.712985942838714,0.416008412837982,0.862235049018636,0.135786460945383,0.885921644279733
2.602,'yes',0,0.674814394675195,0.560192792676389,0.612495366018265,0.432352951029316,0.684989202069119,0.530594262760133,0.631163208046928,0.527364656794816
0.757,'no ',0,0.0501582021825016,0.639581771567464,0.208773587131873,0.686332504963502,0.681942539289594,0.718007233925164,0.573022661264986,0.152557718567550
0.125,'yes',0,0.618164453888312,0.0259958039969206,0.800226411549374,0.103879316477105,0.597503176191822,0.293990092119202,0.436864097835496,0.346579350763932
0.258,'no ',0,0.984805989312008,0.704484776128083,0.810944630065933,0.247915185755119,0.308222740655765,0.88520509796217,0.60554706514813,0.748292873380706
3.686,'no ',0,0.646997292526066,0.260425102896988,0.506955867400393,0.301004996523261,0.500391921261325,0.393212990369648,0.135199796175584,0.251964548835531
2.43,'yes',0,0.79205965064466,0.478274534456432,0.372923469403759,0.943107051309198,0.990562909981236,0.267728365026414,0.388408226426691,0.125118083553389
1.331,'no ',0,0.511820093728602,0.507019544020295,0.494195275940001,0.313526478363201,0.410451777512208,0.679977137828246,0.261927630286664,0.893443739041686
1.18,'yes',0,0.585260212421417,0.536289209267125,0.151884337188676,0.83317749411799,0.961147896945477,0.787651023594663,0.274337090551853,0.509059427771717
0.059,'no ',0,0.43224305473268,0.0881835070904344,0.544713815208524,0.641820242861286,0.927255460992455,0.900405092397705,0.109584874939173,0.675928920740262
1.16,'yes',0,0.623512957710773,0.830648358212784,0.731695571448654,0.790878635831177,0.469597050454468,0.316867800196633,0.4612145004794,0.321471458300948
1.547,'yes',0,0.293550101108849,0.563638858031482,0.390599983977154,0.640031191287562,0.182393528288230,0.591425619088113,0.664700772147626,0.311490113846958
1.692,'yes',0,0.906364108901471,0.355629230383784,0.205669265473261,0.783000217517838,0.429106892552227,0.278396187117323,0.378901793854311,0.319541958859190
3.85,'no ',0,0.686228626174852,0.0093222139403224,0.00254159444011748,0.839562664739788,0.734455059748143,0.822708054678515,0.458637116709724,0.803707191254944
4.109,'no ',0,0.605231310473755,0.882106288801879,0.502576425205916,0.0726537441369146,0.453571367776021,0.146651024231687,0.221773518016562,0.283529140520841
2.296,'yes',0,0.057256578002125,0.370249822270125,0.00489935674704611,0.00172177492640913,0.9662258583121,0.402472009882331,0.0959917556028813,0.882729619275779
0.6535,'yes',0,0.145594513043761,0.480186872184277,0.380419522291049,0.655458186520264,0.223618480376899,0.740650797728449,0.978466574568301,0.0823159848805517
2.711,'yes',0,0.0774497024249285,0.146712147630751,0.80946878832765,0.42655432689935,0.636711936211213,0.264100606786087,0.867819432867691,0.288727367063984
2.452,'yes',0,0.816641269484535,0.00193200842477381,0.00172023382037878,0.781066082883626,0.00185234053060412,0.513368503889069,0.578720291610807,0.924628875916824
4.6497,'no ',0,0.517566767754033,0.191295796539634,0.445693686138839,0.0800570810679346,0.0698497255798429,0.189288067398593,0.364112727809697,0.397437512641773
2.77,'yes',0,0.0542586059309542,0.826559859327972,0.732223941711709,0.65061009931378,0.541772115509957,0.744471630780026,0.341944168321788,0.733989534666762
4.772,'no ',0,0.443969339132309,0.910642131697387,0.73996236291714,0.131106011336669,0.353883804520592,0.711244526319206,0.562997701577842,0.550171060953289
2.58,'no ',0,0.860761438496411,0.45585165405646,0.609204940497875,0.59539823513478,0.461433675605804,0.55169312376529,0.0372718181461096,0.581959647824988
1.497,'no ',0,0.0469097869936377,0.300302061019465,0.271846533520147,0.604103208752349,0.140572503441945,0.899596711387858,0.122943330323324,0.0806391257792711
0.845,'yes',0,0.0439933617599308,0.967913581291214,0.286832535406575,0.388192653888837,0.543915804708377,0.857899959431961,0.372325341682881,0.117079754592851
0.689,'yes',0,0.145515370881185,0.185194603167474,0.349154245806858,0.676345135085285,0.94495696388185,0.269911149051040,0.0886919400654733,0.556298231007531
2.03,'no ',0,0.463875501416624,0.515870624687523,0.282648534048349,0.80274713691324,0.517238009022549,0.217743139481172,0.591378657612950,0.574112638365477
3.076,'yes',0,0.763415313092992,0.973775850608945,0.279114841949195,0.751504531828687,0.92850863141939,0.774069352541119,0.254427998093888,0.97757896897383
2.145,'no ',0,0.231849880656227,0.107389646815136,0.933070823783055,0.923873552586883,0.529216502560303,0.884288558736444,0.104744862299412,0.788082939805463
0.422,'no ',0,0.226007377030328,0.6903521430213,0.735075540374964,0.560095520224422,0.089618228841573,0.273353501688689,0.860156965674832,0.757051446242258
1.71,'yes',0,0.102142160292715,0.543894043657929,0.178966546664014,0.374457051977515,0.300204891245812,0.506311200093478,0.0378330270759761,0.0795190497301519
2.1,'yes',0,0.399195785168558,0.484791555441916,0.263354630907997,0.0484213407617062,0.66427300660871,0.0242799439001828,0.232263063779101,0.122265978949144
2.954,'yes',0,0.615353618049994,0.243288492085412,0.222448234679177,0.220662489300594,0.72428957791999,0.722499655093998,0.537354401079938,0.47791622648947
0.348,'yes',0,0.116389977280051,0.169346451060846,0.224493820918724,0.372339187888429,0.147925309836864,0.21733724931255,0.779444746905938,0.196402304340154
4.27,'no ',0,0.77292469353415,0.532444024225697,0.646653970703483,0.997742723440751,0.707891061436385,0.472918330458924,0.0250282119959593,0.922744969604537
6.6,'no ',0,0.556019819807261,0.0899611439090222,0.373749415855855,0.742192795500159,0.705208098050207,0.563496263697743,0.231566097121686,0.499954498605803
3.53,'no ',0,0.651878379052505,0.0795396270696074,0.376960689900443,0.0316014315467328,0.386384481796995,0.504419588018209,0.97207808517851,0.356080226833001
0.767,'yes',0,0.346613875357434,0.364919557468966,0.537708113435656,0.795065383194014,0.54096427350305,0.575663910945877,0.145469798240811,0.491427576635033
0.5295,'yes',0,0.845945790875703,0.354748511919752,0.373661287594587,0.967271953588352,0.385923419380561,0.730169539805502,0.569580725394189,0.294522035168484
2.4996,'yes',0,0.448878613999113,0.976349373348057,0.532973405672237,0.386110078077763,0.201195519883186,0.737680959282443,0.531612527091056,0.559104841668159
1.9685,'yes',0,0.083272585645318,0.631389570655301,0.996938271680847,0.349707233253866,0.526506915222853,0.422399223549291,0.351946128997952,0.328817599220201
0.714,'no ',0,0.937266821973026,0.99948561983183,0.736900698160753,0.923286888515577,0.75287079368718,0.795826957793906,0.3439099509269,0.63613253319636
3.35,'yes',0,0.948371688835323,0.598117395304143,0.928643100196496,0.249387990217656,0.613381714792922,0.397178832441568,0.106405201135203,0.852621066384017
3.969,'yes',0,0.928386688465253,0.316171805839986,0.33398321387358,0.700617359951138,0.144758507842198,0.441428071120754,0.601819362258539,0.614447315223515
0.624,'yes',0,0.597453544382006,0.0148702047299594,0.655836717924103,0.41144610918127,0.74720495287329,0.0494134689215571,0.521741837728769,0.274108797078952
1.37,'yes',0,0.406924078473821,0.660261509241536,0.880810766713694,0.677392994984984,0.146550823003054,0.139055476523936,0.140686558559537,0.499324878677726
1.063,'yes',0,0.184462205972522,0.474037467036396,0.259402567287907,0.871351239271462,0.704665481578559,0.536358298268169,0.973880327306688,0.782778408611193
0.98,'no ',0,0.189995867665857,0.0157158090732992,0.681252823444083,0.105487557826564,0.637527898419648,0.674133119639009,0.877337055047974,0.431534396717325
4.813,'no ',0,0.100747190648690,0.488993301987648,0.426978100789711,0.694223485887051,0.801212581340224,0.394743868848309,0.828133035916835,0.965513054048643
1.314,'yes',0,0.695280807791278,0.821319933049381,0.625262628076598,0.679058802314103,0.624006024328992,0.0941936783492565,0.772931534796953,0.242682432755828
1.159,'yes',0,0.515464861178771,0.417133593000472,0.997957954881713,0.641021362273023,0.39883268577978,0.905497932108119,0.829515670891851,0.239165540086105
3,'yes',0,0.615327711682767,0.62857436039485,0.552714511752129,0.738860662793741,0.650673034135252,0.146901696687564,0.088883047690615,0.3479298283346
6.7,'no ',0,0.294344021240249,0.545526758534834,0.600058302516118,0.528410607716069,0.863647670252249,0.845518188783899,0.241062556626275,0.896315256366506
1.489,'yes',0,0.406025898642838,0.549612651811913,0.948577813571319,0.924863235093653,0.271517631597817,0.176643735496327,0.0474151556845754,0.9979169764556
2.625,'yes',0,0.798305494012311,0.664408667944372,0.88263896969147,0.460776355117559,0.0384956880006939,0.120229786029086,0.320059250574559,0.921631110133603
4.41,'yes',0,0.783962788525969,0.812609896296635,0.274454077240080,0.333517663180828,0.750240489142016,0.379906193120405,0.219932378968224,0.603753173490986
5.11,'yes',0,0.292658522026613,0.585889796726406,0.98525529843755,0.754549752920866,0.597772107226774,0.765926667256281,0.257373114814982,0.354493810562417
2.737,'yes',0,0.068142676493153,0.0162616402376443,0.184836317552254,0.118491449393332,0.841441768454388,0.236769663402811,0.58658301550895,0.652364501962438
1.8,'yes',0,0.468115888535976,0.291438581189141,0.777146239532158,0.768770317081362,0.405160659691319,0.0347538087517023,0.240991098806262,0.651476871455088
3.425,'yes',0,0.712537659332156,0.814512233948335,0.453593754675239,0.958669150713831,0.544641613727435,0.78491087211296,0.694001752184704,0.113810733659193
2.4266,'yes',0,0.914414347847924,0.049237945349887,0.504351955605671,0.285663213348016,0.904697635909542,0.755300440825522,0.170718156499788,0.413202139316127
0.383,'yes',0,0.154952371027321,0.846479952568188,0.759492236189544,0.677816809387878,0.782614887924865,0.866926242830232,0.164041481446475,0.341796691762283
0.617,'no ',0,0.105187825858593,0.215724398149177,0.300510106142610,0.481979594333097,0.689897261559963,0.516743289073929,0.164129758952186,0.607854875503108
2.198,'yes',0,0.217678090091795,0.913098835153505,0.476432367227972,0.940347345778719,0.282282194821164,0.624686563387513,0.756780587136745,0.871218969812617
1.23,'yes',0,0.782542897854,0.840442512882873,0.119764745701104,0.00672014313749969,0.607983649242669,0.0913943271152675,0.960669696098194,0.0854556164704263
1.261,'yes',0,0.714037892408669,0.274183810921386,0.507346560247242,0.467247764579952,0.345458409516141,0.528312865411863,0.401238037273288,0.105954373953864
2.374,'yes',0,0.251723087392747,0.651956720510498,0.384722098242491,0.416652496904135,0.642795541556552,0.906576338224113,0.447408896172419,0.592399548972026
2.692,'yes',0,0.553542960667983,0.322301880456507,0.325960059650242,0.739655335666612,0.398630718700588,0.539762350264937,0.147043781820685,0.827288284199312
3.3,'no ',0,0.406073976773769,0.650201668031514,0.57036562054418,0.275029193609953,0.392542029265314,0.195433440618217,0.935293212765828,0.117740962654352
0.703,'yes',0,0.0914869848638773,0.687067904975265,0.87963998876512,0.785498895216733,0.362231813138351,0.850003979634494,0.86392428074032,0.585032612318173
2.69,'yes',0,0.149987090844661,0.630312042078003,0.277605313342065,0.380695778876543,0.346492073498666,0.601480169920251,0.45536831417121,0.983098575146869
6.29,'no ',0,0.81330049643293,0.930629582609981,0.070840819273144,0.221064167562872,0.143303041579202,0.861174734309316,0.846492846030742,0.224145047832280
3.35,'yes',0,0.198037265334278,0.847058279672638,0.720385301625356,0.342294411035255,0.0294136600568891,0.987618369981647,0.514921297784895,0.869109987514094
1.1,'yes',0,0.281379746738821,0.325531230075285,0.132873119320720,0.187340358272195,0.286882827989757,0.311639788560569,0.881507767364383,0.235789412865415
2.433,'yes',0,0.892576778773218,0.052315965294838,0.753043254837394,0.448217410361394,0.304472543066368,0.065879387781024,0.975073041161522,0.495754741132259
