@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@data
0.297,'no ',0,0.482154755620286,0.824618236161768,0.318150872131810,0.245671713026240,0.0614234418608248,0.512361194705591,0.922960329335183,0.381538959685713,0.195439758943394,0.650011169025674,0.340502975508571,0.934284008806571,0.959432987729087,0.0562932705506682,0.509328200714663,0.537948485929519,0.0574995058123022,0.747875274159014,0.524470002623275,0.408814441878349,0.964839269407094,0.0748073616996408,0.796977439662442,0.644092596368864,0.489923633402213,0.00640068505890667,0.190830653999001,0.853080400964245,0.361080507514998,0.968787078745663,0.282116910209879,0.408199982484803
2.2,'yes',0,0.417994242161512,0.112404858460650,0.61086959275417,0.764999178005382,0.290781078394502,0.0069589966442436,0.455506404396147,0.70432237139903,0.435498720500618,0.744020430836827,0.800352539634332,0.254856115672737,0.0723036469426006,0.356699368683621,0.514239652547985,0.0258102284278721,0.550730277085677,0.970544365700334,0.242961593670771,0.231805234914646,0.443688510218635,0.0771028862800449,0.670402077492326,0.736709192628041,0.983750245301053,0.510157545795664,0.822084238752723,0.583780375076458,0.776702678995207,0.749484619824216,0.302757532568648,0.752496788511053
1.505,'no ',0,0.144060282502323,0.838806642452255,0.710557439364493,0.55204638838768,0.482413221150637,0.800053766462952,0.569931064965203,0.0247941184788942,0.609032297041267,0.669195995433256,0.99877121206373,0.838695402955636,0.348457049112767,0.81225236156024,0.259345218772069,0.737711377907544,0.154858504189178,0.709777333308011,0.16911911778152,0.522440970642492,0.281289067817852,0.0068053884897381,0.688046471914276,0.714425819693133,0.0661359345540404,0.525564779294655,0.383925596950576,0.526127653429285,0.384475865401328,0.464787683682516,0.0670925863087177,0.0296081525739282
1.51,'yes',0,0.586430001305416,0.538053977536038,0.940806977683678,0.234654840547591,0.338930980535224,0.0590421711094677,0.245713654207066,0.0615388383157551,0.243075724691153,0.434636254562065,0.885122507577762,0.356008406961337,0.742657000431791,0.592667571967468,0.881614107172936,0.15783807518892,0.0368595612235367,0.207432523602620,0.895485163433477,0.524946370860562,0.469030482461676,0.557163003599271,0.370487818494439,0.205950145842507,0.401037114905193,0.94316232507117,0.814018582226709,0.298261200776324,0.919749532593414,0.277717458782718,0.599338375264779,0.522287308005616
2.602,'yes',0,0.939509965013713,0.920035919640213,0.0957985355053097,0.65016128658317,0.997186878230423,0.0403632333036512,0.187190241180360,0.352201160276309,0.96846406115219,0.511477657360956,0.796308787539601,0.812523550586775,0.786160511896014,0.0215154085308313,0.141366539290175,0.839943278348073,0.0893558522220701,0.27643734193407,0.219930813880637,0.574791358085349,0.785506850806996,0.84964415198192,0.326234847540036,0.188303012866527,0.0042681721970439,0.511086499784142,0.00434312946163118,0.0897767189890146,0.682758988812566,0.0509084891527891,0.592490744078532,0.0422056782990694
0.757,'no ',0,0.0535763951484114,0.141899897484109,0.0693002368789166,0.70362004218623,0.443356639239937,0.252623391104862,0.477941471384838,0.690527477767318,0.146782110445201,0.95150072989054,0.941152995917946,0.222069572890177,0.591240568086505,0.172624593833461,0.89096310432069,0.5364857877139,0.137498052790761,0.0722296063322574,0.558610816951841,0.000552715267986059,0.289771900512278,0.702751045813784,0.280323404120281,0.63544945186004,0.667304969159886,0.783358177635819,0.0651377914473414,0.517604442080483,0.747015721397474,0.75238833273761,0.562643385259435,0.398508843732998
0.125,'yes',0,0.0237933003809303,0.922583502018824,0.715988880489022,0.85935346991755,0.87804844416678,0.749088868498802,0.538822398521006,0.285340063506737,0.869492523837835,0.363356120418757,0.377258910331875,0.83264471939765,0.132603905862197,0.917590256547555,0.833822360262275,0.926158429821953,0.201622936176136,0.175830450607464,0.243392522446811,0.170878293225542,0.564090476371348,0.978988931514323,0.751367215299979,0.342870940454304,0.208433536812663,0.245488955639303,0.966121250065044,0.367130191065371,0.278252643533051,0.897244564257562,0.552182808285579,0.835628636414185
0.258,'no ',0,0.379145071608946,0.383097999030724,0.640666466439143,0.413123545236886,0.817639021435753,0.239403564017266,0.886872569099069,0.777669495670125,0.033056297339499,0.92326060240157,0.075268822023645,0.667199890129268,0.111441676970571,0.405309812398627,0.450876469025388,0.0798480766825378,0.703796774381772,0.603170147631317,0.703050089767203,0.706709197722375,0.263319834601134,0.844336378155276,0.962250686250627,0.618975222110748,0.855820042779669,0.410306940320879,0.863580340286717,0.507401096401736,0.90122182178311,0.112790517974645,0.248517366591841,0.875212826998904
3.686,'no ',0,0.874139103572816,0.910103799309582,0.0591293389443308,0.859245505416766,0.545313438167796,0.612615545047447,0.919127667555586,0.0123166951816529,0.68350957822986,0.948741751955822,0.179058574140072,0.446649529505521,0.87389695039019,0.401656785514206,0.587399470852688,0.722846764605492,0.274400946917012,0.555506252683699,0.309073114767671,0.825484038563445,0.309969410300255,0.752706723054871,0.477160251699388,0.743176749441773,0.7967061069794,0.222307101124898,0.59796320530586,0.892504529794678,0.0908457196783274,0.433890689630061,0.276963520329446,0.979840305633843
2.43,'yes',0,0.90423787618056,0.609752970049158,0.64626656472683,0.898432041052729,0.0953653580509126,0.152241012081504,0.796743369661272,0.683684237999842,0.683513975003734,0.780004838015884,0.970121164573357,0.329939589370042,0.729969107545912,0.554840935161337,0.406191979767755,0.221824441105127,0.444392658304423,0.75738149532117,0.531181157566607,0.453336291247979,0.914379411609843,0.617757654516026,0.829974677180871,0.285952575271949,0.633820481831208,0.338091419776902,0.201247396646068,0.677270727232099,0.319285475183278,0.624457859434187,0.206282758386806,0.455533412750810
1.331,'no ',0,0.199428618652746,0.381497682770714,0.718090259702876,0.0981690245680511,0.652486415812746,0.849655461963266,0.538114154012874,0.50565863144584,0.57249124138616,0.72044360334985,0.896394714014605,0.195308814523742,0.689347177743912,0.190084385918453,0.958696336485445,0.224868797464296,0.864215472480282,0.478982953820378,0.133939589373767,0.519314599689096,0.602324723964557,0.380863064900041,0.326578299980611,0.556436397135258,0.209827496670187,0.48288325406611,0.429021452786401,0.343374338699505,0.918398180510849,0.490674876375124,0.565138835227117,0.453443313715979
1.18,'yes',0,0.57199866976589,0.633208627579734,0.333342013182119,0.0700718616135418,0.566201493376866,0.25812418339774,0.170931956265122,0.699448787141591,0.742519152350724,0.819644764531404,0.536967337364331,0.422730823978782,0.359324415912852,0.374144705012441,0.94570367806591,0.757052609464154,0.419401554856449,0.0416834629140794,0.476608019322157,0.51238001533784,0.199283355847001,0.161602799547836,0.195905370637774,0.935574738308787,0.238320097560063,0.447050731629133,0.700659470399842,0.813773006899282,0.447483075782657,0.0115985195152462,0.973917342722416,0.879800430033356
0.059,'no ',0,0.847656466532499,0.298672985984012,0.502151755383238,0.293474807171151,0.763745189877227,0.525443145772442,0.0179960781242698,0.849837029119954,0.417495421832427,0.0277365169022232,0.228296282701194,0.525083818472922,0.654467582935467,0.703574409009889,0.161386072868481,0.341344306012616,0.346457520732656,0.989246434764937,0.846485546557233,0.0116972308605909,0.755513942800462,0.0295577398501337,0.7575046941638,0.64294395595789,0.326125756371766,0.668621414573863,0.952002106700093,0.749664071714506,0.511105698300526,0.298474667593837,0.374356736429036,0.249155964236706
1.16,'yes',0,0.41638595983386,0.375466768164188,0.91790702054277,0.86322117317468,0.135140901431441,0.680387907428667,0.0659062641207129,0.76774605573155,0.948073913808912,0.319906293414533,0.489346196874976,0.98025048780255,0.367579630576074,0.465256616706029,0.977822831831872,0.694980561034754,0.00105298706330359,0.230814880458638,0.593382847029716,0.110864594113082,0.559744861442596,0.573365149553865,0.563459773082286,0.393791767768562,0.310673419386148,0.390223357826471,0.885328798554838,0.782030983362347,0.927846047328785,0.580060274107382,0.129630661569536,0.154438127530739
1.547,'yes',0,0.964192387415096,0.438500836025923,0.592267090454698,0.88813086040318,0.60212889383547,0.802974157733843,0.767130517400801,0.894183936296031,0.488941054791212,0.708545862231404,0.321451023453847,0.296107401140034,0.939027837011963,0.134306033141911,0.834627414820716,0.531664796639234,0.163402513833717,0.966105156810954,0.0134742641821504,0.320654614362866,0.103199506644160,0.615192673867568,0.0102077708579600,0.788029075134546,0.661919434322044,0.101608568336815,0.89016183372587,0.17600779957138,0.842558910371736,0.364924692548811,0.379350477131084,0.968890924239531
1.692,'yes',0,0.646628526737913,0.400583731010556,0.988736886531115,0.890960413496941,0.0927072723861784,0.359438830288127,0.969208049587905,0.563794727670029,0.664960455847904,0.0539328660815954,0.95491360570304,0.495635660132393,0.53496960317716,0.0637708615977317,0.856966688064858,0.457970096496865,0.278791529359296,0.879143269965425,0.65737361786887,0.0980752669274807,0.52172209136188,0.0644170553423464,0.903412628918886,0.353913059458137,0.590153406606987,0.122065791627392,0.00414498546160758,0.627907856134698,0.562634464818984,0.361040087882429,0.305563112022355,0.685666529228911
3.85,'no ',0,0.676441722083837,0.573292523622513,0.3798568691127,0.852890617912635,0.543356273556128,0.498451508115977,0.946545524522662,0.8789235081058,0.00394715322181582,0.491749309236184,0.500120121287182,0.671558604342863,0.60954008763656,0.584997075144202,0.986595024354756,0.0674808416515589,0.82265316718258,0.604641822399572,0.62306382926181,0.342513924464583,0.570052501745522,0.576044413726777,0.524037000024691,0.210028092144057,0.632766996743158,0.632683881325647,0.765973988221958,0.428779323352501,0.560084569500759,0.513393665198237,0.200351102277637,0.997186389286071
