@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@data
0.297,'no ',0,0.61626086034812,0.669630349148065,0.400394851341844,0.234436176950112,0.537635076092556,0.68173398822546,0.0624069126788527,0.700572869507596,0.43663041992113,0.660004197387025,0.292253200197592,0.397058608010411,0.290439198026434,0.126358088338748,0.375088135479018,0.876634450396523,0.512640874134377,0.738118011737242,0.73395620752126,0.294338513398543
2.2,'yes',0,0.244562763255090,0.638346592662856,0.89692517160438,0.0452360755298287,0.889088906813413,0.985595811158419,0.394651677226648,0.80505519034341,0.265566041693091,0.93289626063779,0.671266827033833,0.6753614123445,0.998982425546274,0.987411912763491,0.321524435421452,0.89850738318637,0.289460557978600,0.682276828913018,0.287127376766875,0.866387948859483
1.505,'no ',0,0.342368776677176,0.0101795059163123,0.126293166773394,0.069637562148273,0.795895568560809,0.429393295431510,0.614505077013746,0.886133615858853,0.961357597727329,0.865833754418418,0.699053947813809,0.733041108353063,0.543703816365451,0.420308671658859,0.0306573777925223,0.978388408897445,0.240658347727731,0.482442629290745,0.23856484843418,0.978714782977477
1.51,'yes',0,0.905707503203303,0.716622401727363,0.187891123117879,0.0760016429703683,0.186913630226627,0.465918223606423,0.170852213865146,0.816893564071506,0.361367050092667,0.957208058098331,0.265958091244102,0.511838294565678,0.248436831636354,0.961207232670859,0.116438428638503,0.804434383055195,0.365701608592644,0.852515707956627,0.93410205701366,0.949081988539547
2.602,'yes',0,0.435496261576191,0.298495348310098,0.864371482748538,0.366119038313627,0.812781159067526,0.224768715212122,0.914044024189934,0.233944006497040,0.846794876968488,0.245816983515397,0.822424764512107,0.687768512405455,0.0635060286149383,0.866123880492523,0.92111137486063,0.748524541035295,0.603431144263595,0.112264174968004,0.420907625928521,0.534448273712769
0.757,'no ',0,0.708584001054987,0.200775800971314,0.447410565568134,0.685464751208201,0.205990468850359,0.643020308110863,0.670231639407575,0.888019720325246,0.514068383025005,0.883018724620342,0.0108597152866423,0.422602433012798,0.418748342199251,0.0235148521605879,0.203402853570879,0.522547987522557,0.110090282047167,0.627695833332837,0.185723703354597,0.828025690745562
0.125,'yes',0,0.529487684369087,0.303737161448225,0.0389871001243591,0.687529286602512,0.488284648628905,0.548079886240885,0.7534314612858,0.650086337933317,0.0676312600262463,0.250065334374085,0.891604479867965,0.747105573769659,0.525991516653448,0.171499318210408,0.084984712768346,0.0708594555035233,0.745231311069801,0.94682119647041,0.686484977835789,0.243330538040027
0.258,'no ',0,0.662437700899318,0.478723127627745,0.353047314565629,0.298959362553433,0.928002190310508,0.311006205156446,0.357270901557058,0.427432049065828,0.106080504832789,0.141178273828700,0.907672161934897,0.471525141270831,0.718414712231606,0.153867533430457,0.0295258848927915,0.555092774098739,0.564218561863527,0.0730867667589337,0.743929475545883,0.089019235689193
3.686,'no ',0,0.804178483551368,0.222019311739132,0.361750540789217,0.852373918052763,0.349482769146562,0.873673958238214,0.747447643429041,0.274007245199755,0.194959799526259,0.0611605711746961,0.646256167674437,0.419331141049042,0.682080412749201,0.201728026149794,0.522941500181332,0.281638766871765,0.911774673499167,0.390228433534503,0.806577130453661,0.204653411405161
2.43,'yes',0,0.37927677994594,0.220435491297394,0.227516692830250,0.365873559378088,0.280856012366712,0.0418820506893098,0.200501391896978,0.410856637638062,0.243854559957981,0.0856287518981844,0.430601219646633,0.471666648285463,0.986274268943816,0.972290474688634,0.579240126768127,0.465666045201942,0.589884688146412,0.747725130990148,0.125498270383105,0.776093544904143
