@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute zero numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@attribute useless33 numeric
@attribute useless34 numeric
@attribute useless35 numeric
@attribute useless36 numeric
@attribute useless37 numeric
@attribute useless38 numeric
@attribute useless39 numeric
@attribute useless40 numeric
@data
2.2,'yes',0,0.974100365070626,0.750608477042988,0.722598337568343,0.208948441548273,0.533911832841113,0.529095761710778,0.547299233498052,0.239374951459467,0.569506337633356,0.280776895582676,0.760998952202499,0.274551744107157,0.921881154645234,0.560982793802395,0.514911179430783,0.986133113270625,0.734269425505772,0.0334986362140626,0.82161481725052,0.653463287744671,0.694074230035767,0.370163583196700,0.0147215584293008,0.667637130245566,0.463104055961594,0.0745932904537767,0.726226289290935,0.138480259571224,0.450550559675321,0.91097802738659,0.797927491366863,0.954452167497948,0.97665817080997,0.963129822164774,0.371632436988875,0.278484726557508,0.333457693457603,0.0886151299346238,0.0907349383924156,0.792334944708273
1.505,'no',0,0.349632483208552,0.480472541181371,0.649492434225976,0.140347879612818,0.209499437361956,0.207618275191635,0.704294524388388,0.514413110911846,0.824439952149987,0.634434935171157,0.587619824102148,0.52702418458648,0.0346385377924889,0.976552496431395,0.690098963212222,0.109650709899142,0.566709006205201,0.292686960892752,0.860013500088826,0.0296005611307919,0.280572084942833,0.78293843823485,0.724014803301543,0.567784150363877,0.545591745525599,0.118756104959175,0.896461646072567,0.849365362897515,0.49970009108074,0.280303079169244,0.891730262432247,0.651276390533894,0.290041918167844,0.758627878502011,0.163745329948142,0.156561919255182,0.956658801762387,0.250363537808880,0.894705064361915,0.0211387153249234
1.51,'yes',0,0.406124638160691,0.400964295025915,0.111443551490083,0.298704160610214,0.933617849834263,0.892009927658364,0.746870090253651,0.0419234069995582,0.406686612404883,0.7040708840359,0.878192127216607,0.387973464792594,0.0394426067359746,0.58063137717545,0.9742557851132,0.894907955313101,0.878859836841002,0.60111568775028,0.93799447012134,0.87415634514764,0.909860444488004,0.327627312624827,0.784200356341898,0.141756125492975,0.767921949038282,0.534623054089025,0.742455255473033,0.889827201608568,0.811978346202523,0.350196941988543,0.114106732886285,0.514272540109232,0.63984631956555,0.662079303758219,0.0658653976861387,0.261937620351091,0.272683816961944,0.148039498133585,0.061412310693413,0.548022530274466
2.602,'yes',0,0.860319303814322,0.0663351274561137,0.443344065919518,0.490303862839937,0.859479138161987,0.76774412789382,0.447062582010403,0.804283520206809,0.72205938724801,0.434553261147812,0.163323754444718,0.197617932921275,0.0417489558458328,0.816836897749454,0.3652138938196,0.569242079742253,0.468077277299017,0.21009440603666,0.508658040547743,0.0886708972975612,0.728599894559011,0.438620109576732,0.183302116813138,0.709074456244707,0.98266392503865,0.304412605706602,0.860955998999998,0.216119552496821,0.626530749723315,0.939855091739446,0.709256022935733,0.254404324339703,0.571261927019805,0.807700820732862,0.455316328210756,0.124016350600868,0.133493667235598,0.814287453191355,0.641039692331105,0.99048037873581
0.757,'no',0,0.788198686437681,0.124070815509185,0.236760564381257,0.218570762081072,0.556431298609823,0.610154752153903,0.637838945956901,0.948137453757226,0.369405763689429,0.77133214683272,0.354288493050262,0.137968853348866,0.693582556443289,0.593072727089748,0.625968422042206,0.66344656702131,0.343992086593062,0.110279392451048,0.939897105796263,0.858943794388324,0.621801089728251,0.382256653625518,0.391222209436819,0.441018766723573,0.654426936758682,0.650512629421428,0.846875166986138,0.614362719003111,0.850150730926543,0.814865761902183,0.633354319958016,0.675267577869818,0.580299992579967,0.858021842082962,0.759526695357636,3.1858216971159e-05,0.699496854562312,0.708600795827806,0.638023421633989,0.822693368885666
0.125,'yes',0,0.419248140882701,0.392678496893495,0.682677548378706,0.661921498831362,0.0490309898741543,0.439169362420216,0.633024893468246,0.298580378759652,0.00112606980837882,0.892256515100598,0.582540308358148,0.542650365736336,0.97869497607462,0.249142999993637,0.0137426301371306,0.0824431811925024,0.425658281194046,0.33004029141739,0.191352208610624,0.0777998971752822,0.258184041362256,0.514372875215486,0.414368257857859,0.102890342241153,0.947089382912964,0.81611037766561,0.0211499761790037,0.150274464860559,0.244165176991373,0.899175447179005,0.81030994374305,0.0529599087312818,0.063570661470294,0.829684601631016,0.281485969433561,0.241968764690682,0.97038311813958,0.297791061922908,0.897302487166598,0.472988722613081
0.258,'no',0,0.276955934474245,0.787394155515358,0.574967830907553,0.871869692346081,0.55740821454674,0.682208048878238,0.552236899267882,0.496159316506237,0.115797861013561,0.735890808980912,0.0989061507862061,0.245905491989106,0.427395184058696,0.192024812800810,0.00324212689884007,0.620115693192929,0.693667291430756,0.647192211356014,0.49436121690087,0.543891259701923,0.365796282654628,0.197629996342584,0.346720641013235,0.514918072614819,0.962305007036775,0.26524684461765,0.698000607080758,0.497107022674754,0.592973597114906,0.130882672499865,0.452506565488875,0.528525581117719,0.650073403026909,0.125657261349261,0.622502375161275,0.364946800982580,0.577951587969437,0.546487313695252,0.77006288128905,0.248052074341103
3.686,'no',0,0.130467685172334,0.0118770294357091,0.866866787197068,0.748067997861654,0.430500670801848,0.462591875344515,0.166198154445738,0.483585569774732,0.907594728283584,0.954377562506124,0.704546344000846,0.539223156636581,0.830229095881805,0.631945007713512,0.972702986327931,0.0987210208550096,0.695359888486564,0.950454149395227,0.762308490928262,0.143276918912306,0.310804490000010,0.95764088514261,0.831614664755762,0.580698287347332,0.983708281302825,0.542067985516042,0.740940594812855,0.943429408827797,0.174814315512776,0.156018400099128,0.659712822176516,0.219654044136405,0.803017440019175,0.139332768274471,0.75488425954245,0.84814272262156,0.598733501043171,0.26161429611966,0.673574582440779,0.245738733094186
2.43,'yes',0,0.302375574363396,0.658329116879031,0.360044328263029,0.757765951100737,0.831871497211978,0.871897256700322,0.379855556879193,0.454659746726975,0.461042865877971,0.873599896440282,0.308944011107087,0.242218121187761,0.0488772350363433,0.417259454494342,0.317170535214245,0.359462389256805,0.0642433215398341,0.337185104843229,0.416481766616926,0.238701014546677,0.585576059529558,0.147112455684692,0.519262807210907,0.295846558641642,0.81357353599742,0.825582287972793,0.180046781897545,0.402364303823560,0.0967712779529393,0.465274674585089,0.714933104114607,0.458084096433595,0.473245017230511,0.778694767970592,0.955929239047691,0.533403506269678,0.461453961906955,0.920559000456706,0.721188105642796,0.683654522523284
1.331,'no',0,0.381935537559912,0.844894573790953,0.0341818004380912,0.648263233248144,0.602685880381614,0.194977390579879,0.787550914334133,0.268940342823043,0.9572901672218,0.122944641159847,0.785034961765632,0.57737376447767,0.84624823066406,0.974212342174724,0.91343957115896,0.486245605163276,0.94763689697720,0.0942405227106065,0.229377053678036,0.168965314514935,0.6894572051242,0.323815503390506,0.929567413171753,0.814198159612715,0.0124226270709187,0.277009607991204,0.646928563248366,0.573812956921756,0.0753628364764154,0.596897093812004,0.150572953280061,0.541571917012334,0.701954430900514,0.831863241735846,0.88396438374184,0.597716907039285,0.637458354700357,0.475021684542298,0.696876211790368,0.0874714551027864
