@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@data
0.297,'no ',0,0.900170236593112,0.110787609359249,0.72597081377171,0.870401078369468,0.893966168863699,0.423273066291586,0.774802970699966,0.787391405086964,0.272732202196494,0.142458079149947,0.619886023690924,0.589413047302514,0.248090762412176,0.628644491313025,0.047592343762517,0.664831404574215
2.2,'yes',0,0.82515623816289,0.942473649512976,0.484836633550003,0.0698251808062196,0.814707730198279,0.657394959591329,0.84084322466515,0.678545776288956,0.116287172771990,0.0250855651684105,0.244743818882853,0.466336927842349,0.229195889085531,0.289945743046701,0.998616804601625,0.935594563139603
1.505,'no ',0,0.591124933911487,0.655819059582427,0.424507743678987,0.352774648694322,0.632873471127823,0.398540667491034,0.468127037631348,0.573526333551854,0.298276227898896,0.124148108530790,0.34233997319825,0.101223105797544,0.396680735284463,0.365688856458291,0.0513767595402896,0.295887834159657
1.51,'yes',0,0.644850372336805,0.341166341211647,0.720893995603547,0.45698888739571,0.559840800939128,0.456136904656887,0.110862023662776,0.076068633235991,0.247154237236828,0.0562079430092126,0.841578197898343,0.179188471054658,0.279348691692576,0.201259023742750,0.709577257279307,0.347957928199321
2.602,'yes',0,0.348667067009956,0.729279879713431,0.448364862240851,0.0403882437385619,0.661991299828514,0.589108936255798,0.881387148750946,0.188151908339933,0.245211011031643,0.394532030215487,0.764205571496859,0.171693455660716,0.226886044489220,0.507978774374351,0.432406003354117,0.499329256126657
0.757,'no ',0,0.648958942852914,0.248381285462528,0.804597128881142,0.629367717076093,0.159064003499225,0.906998205231503,0.133749924600124,0.890086440835148,0.836654171114787,0.287434969097376,0.836580738192424,0.0863665947690606,0.156695178477094,0.0390900489874184,0.0091999201104045,0.417225707089528
0.125,'yes',0,0.0239121150225401,0.664760433603078,0.860739677445963,0.6733757997863,0.87074355664663,0.0799259298946708,0.750311569776386,0.0325930581893772,0.515298210317269,0.408798300428316,0.990427042823285,0.84162605414167,0.935063249664381,0.305580486077815,0.720096172299236,0.419734274968505
0.258,'no ',0,0.235024214489385,0.422244366025552,0.238398322835565,0.727585888002068,0.477828557603061,0.218507399084046,0.576235120883211,0.692921412875876,0.921843132004142,0.578066668473184,0.770427062176168,0.00596799654886127,0.259023085236549,0.062213646247983,0.375213493825868,0.251700798515230
3.686,'no ',0,0.509542270563543,0.468182298121974,0.971638231538236,0.189098932780325,0.946248130407184,0.889062552480027,0.667117336997762,0.664655972272158,0.933784662280232,0.87290715589188,0.212022711755708,0.551016804063693,0.459986704867333,0.150676226709038,0.454823178471997,0.281931809149683
2.43,'yes',0,0.684800419257954,0.464748120401055,0.700102958828211,0.912957299733534,0.811966168228537,0.685421485686675,0.556390541605651,0.562768781092018,0.22431030170992,0.821226769592613,0.79526343406178,0.162809147732332,0.873520851600915,0.163796854903921,0.945669594220817,0.989680813858286
1.331,'no ',0,0.975894707255065,0.466389575041831,0.0127304426860064,0.0114805097691715,0.560234959702939,0.253913221647963,0.282376446528360,0.741292074788362,0.509347771294415,0.184810479171574,0.0829792751464993,0.890547149581835,0.660030076047406,0.0776828455273062,0.333086355822161,0.39484602608718
1.18,'yes',0,0.421678251354024,0.374209936708212,0.849813615670428,0.966631597839296,0.668855889700353,0.0370074515230954,0.326045076595619,0.411258204607293,0.951343416934833,0.790412582689896,0.494321237551048,0.659995678812265,0.953668909845874,0.557615109719336,0.993557903915644,0.349742323625833
0.059,'no ',0,0.132842518389225,0.646965262014419,0.101160416612402,0.404696579556912,0.836685561574996,0.701583459740505,0.378453897312284,0.668515290599316,0.446534429909661,0.973559111356735,0.827809292823076,0.30359567492269,0.61250305082649,0.900744357146323,0.708068987121806,0.271010369760916
1.16,'yes',0,0.329289724351838,0.181929582031444,0.807719049975276,0.170035453513265,0.285582253942266,0.758048031013459,0.609164477093145,0.000378137454390526,0.750006079208106,0.496458104113117,0.663650277303532,0.890219448832795,0.854669027496129,0.077567586209625,0.530652346322313,0.134580896934494
1.547,'yes',0,0.358469546074048,0.112640610430390,0.65318704675883,0.0910519296303391,0.559852411970496,0.746661410899833,0.217187539907172,0.350022325059399,0.432958593359217,0.154253690503538,0.969811754766852,0.211003681179136,0.949239789275452,0.487896177917719,0.0989602177869529,0.778255626559258
1.692,'yes',0,0.254940659506246,0.742771924939007,0.495025439187884,0.0801971340551972,0.89962164289318,0.761050202418119,0.55220690742135,0.137854038970545,0.794645269634202,0.177547586150467,0.465746755478904,0.438133750809357,0.0952049682382494,0.161326058907434,0.751336911693215,0.914725905749947
3.85,'no ',0,0.555146030616015,0.226401372812688,0.145616249879822,0.267031447729096,0.94523616693914,0.260485203238204,0.371506433468312,0.957984254695475,0.216872123768553,0.0723380064591765,0.610121737932786,0.244082820834592,0.047515130834654,0.614543763222173,0.541203923290595,0.584080642554909
4.109,'no ',0,0.737281960435212,0.561816069763154,0.0907045116182417,0.249156182166189,0.267060440499336,0.989157183561474,0.081840924685821,0.371661079814658,0.799702803138644,0.391593829728663,0.934233295032755,0.413219581823796,0.555170502047986,0.665318876039237,0.94046597671695,0.84079826134257
2.296,'yes',0,0.368946069851518,0.195702409371734,0.98566033714451,0.158641087589785,0.83660052344203,0.480134444544092,0.63331497926265,0.402682800078765,0.9686828404665,0.0778345908038318,0.738336111186072,0.0180418416857719,0.27936277538538,0.494663117919117,0.133435423951596,0.0516541178803891
0.6535,'yes',0,0.503645000513643,0.950227197725326,0.963305042125285,0.570134005276486,0.511498123873025,0.828654145123437,0.943410036386922,0.47763828956522,0.370349019765854,0.0697460898663849,0.662226502783597,0.0679522515274584,0.922938314499334,0.306815660092980,0.31867363746278,0.951979133766145
2.711,'yes',0,0.876643512165174,0.0550400498323143,0.322679993230850,0.802293955115601,0.789786671753973,0.111511938273907,0.158040289767087,0.786629235604778,0.0982765480875969,0.923567453864962,0.541983812116086,0.0220684700179845,0.546675547258928,0.747859764844179,0.779860858572647,0.623077820520848
