@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@attribute useless33 numeric
@attribute useless34 numeric
@attribute useless35 numeric
@attribute useless36 numeric
@attribute useless37 numeric
@attribute useless38 numeric
@attribute useless39 numeric
@attribute useless40 numeric
@data
2.2,-1.0332,?,?,?,3.753e-05,1.7746,31.1,?,?,7.49,143,1.024,0.02486,0.0817582,0.21499,0.454811,0.837496,'yes','yes',0.799821949796751,0.801602048333734,0.952203552471474,0.840156427118927,0.395666439784691,0.726863807998598,0.480401958106086,0.976941590430215,0.960205706534907,0.086563004180789,0.575399612775072,0.248399596428499,0.0586256883107126,0.55534096667543,0.612849215278402,0.199001076631248,0.492678238544613,0.704746811185032,0.809017016552389,0.718983263010159,0.607809746870771,0.765578543301672,0.293360979296267,0.974579552887008,0.431538108503446,0.88712514191866,0.265365436207503,0.108511310070753,0.320640957681462,0.700629434315488,0.982578713446856,0.130130187608302,0.47096167714335,0.578899273416027,0.941465334035456,0.805064209969714,0.800810194341466,0.146860589738935,0.0492540302220732,0.455115013290197
1.505,-1.5398,?,?,?,?,2.2564,49.7,?,?,8.81,224,1.024,0.058027,0.158883,0.351322,0.61464,0.910566,'yes','no',0.450610836269334,0.786872493801638,0.882901691598818,0.360362914390862,0.241862898692489,0.802638181950897,0.562332285568118,0.582403150387108,0.819779054261744,0.636617160635069,0.437629594933242,0.56664682389237,0.938709318405017,0.112847369629890,0.335285936016589,0.339447793085128,0.437258735997602,0.00702597969211638,0.284674964146689,0.537098172819242,0.413555028149858,0.402333131525666,0.979379922617227,0.414341328432783,0.419144857674837,0.441188503289595,0.414858573116362,0.850500361528248,0.925889018923044,0.278658485040069,0.839075739495456,0.867234900128096,0.476379306986928,0.50079716113396,0.183699740795419,0.473139570560306,0.0304620712995529,0.831643822602928,0.958195915678516,0.810470362659544
1.51,?,-2.3806,?,?,?,2.2345,13.4,?,?,7.58,187,1.024,0.0331163,0.0862009,0.192136,0.371174,0.729067,'yes','yes',0.901701849186793,0.0541209410876036,0.234210945433006,0.308099929010496,0.901590314228088,0.00311960675753653,0.249972586520016,0.39234353043139,0.083589045330882,0.542154165683314,0.116968420101330,0.778004787163809,0.544188210740685,0.798114016419277,0.756481977645308,0.697239215252921,0.421112385345623,0.981125658145174,0.0901805686298758,0.184086494147778,0.154345497256145,0.680613395292312,0.179591283900663,0.557117566931993,0.203896451275796,0.519865622743964,0.365066250786185,0.240592172835022,0.915601341985166,0.543646931182593,0.463427144102752,0.00339353503659368,0.82022283016704,0.577361871954054,0.752249081153423,0.065893174847588,0.215774953598157,0.167337406193838,0.151649786159396,0.469231287250295
2.602,-0.9507,?,?,?,0.0001218,1.9623,37.2,?,?,10.24,271,1.024,0.00929391,0.0366282,0.117212,0.314742,0.757605,'yes','yes',0.975937871495262,0.201280722860247,0.109088301425800,0.64054346899502,0.70697542722337,0.090761325089261,0.0162996959406883,0.638983784243464,0.42661620513536,0.217654749052599,0.0712718938011676,0.8507023465354,0.638098198454827,0.363709187367931,0.68659801967442,0.226238337112591,0.546207528328523,0.115139871370047,0.250795028638095,0.0517698901239783,0.419752134010196,0.994183750357479,0.441404469776899,0.394045439781621,0.304820415563881,0.271241551497951,0.244064740138128,0.756005380768329,0.262568600941449,0.9274389334023,0.157151967519894,0.28431154624559,0.97144448873587,0.981525803217664,0.579527921043336,0.316787572344765,0.696423055138439,0.97454653144814,0.748587601119652,0.309259828180075
0.757,-1.5558,?,?,?,?,1.8061,24.1,?,?,7.33,286,2.048,0.0756463,0.194119,0.402664,0.661859,0.925883,'yes','no',0.403665122808889,0.652177108218893,0.419510421343148,0.178776204120368,0.749309920938686,0.936042881803587,0.25579968909733,0.763975588837638,0.486440514679998,0.422884033760056,0.827258543344215,0.0188208555337042,0.97011370351538,0.378202034160495,0.538628301117569,0.808176716556773,0.210079668788239,0.685037988005206,0.79852700443007,0.806174270343035,0.928115254966542,0.508902786998078,0.176331023685634,0.655619939323515,0.0759132455568761,0.394870516145602,0.841562247369438,0.268574453424662,0.749508186709136,0.524240817409009,0.928007307695225,0.103857148904353,0.845464265206829,0.0817175235133618,0.693801096174866,0.075000542216003,0.855071392608806,0.212050314061344,0.0091793155297637,0.388289895839989
0.125,-1.9025,?,?,?,2.43e-05,1.8893,191.9,?,?,18.45,563,1.024,0.0200604,0.063965,0.17011,0.383612,0.806044,'yes','yes',0.0594691901933402,0.443327949848026,0.88316173129715,0.175475691678002,0.151630156207830,0.538923940388486,0.241929926676676,0.782197322230786,0.0452180346474051,0.416992896702141,0.542971194954589,0.227944660698995,0.0877741354051977,0.135610618628561,0.289609504630789,0.76942011504434,0.865654407301918,0.447516959626228,0.070620589191094,0.579418987035751,0.542712819296867,0.953763958299533,0.882588379085064,0.951604780042544,0.408344436902553,0.269433827605098,0.743920236127451,0.193700338248163,0.519687953405082,0.224293244071305,0.715740374056622,0.553590747760609,0.839246245799586,0.0739247528836131,0.549925677943975,0.90232190489769,0.226556859677657,0.103225553641096,0.403842394240201,0.523932268610224
0.258,-1.6403,?,?,?,?,1.5283,20.8,?,?,10.77,108,0.064,0.0126742,0.046395,0.136174,0.330306,0.742071,'yes','no',0.67330310260877,0.271246152231470,0.737928804475814,0.120192340342328,0.644140339456499,0.640734323998913,0.381333764409646,0.451921815285459,0.164835656527430,0.809120499994606,0.0763504039496183,0.838491213042289,0.941116107162088,0.897020599571988,0.772932695690542,0.250956510426477,0.625861671753228,0.149275853997096,0.258442870108411,0.237056855810806,0.45808943733573,0.196977236773819,0.257298315409571,0.972556155407801,0.464547508163378,0.366632333723828,0.316008434165269,0.376723021967337,0.0670503126457334,0.248696213122457,0.384718763642013,0.825622989563271,0.509966460755095,0.974433364812285,0.803671090630814,0.866840387694538,0.178226761054248,0.673096330836415,0.955055113881826,0.598241334781051
3.686,-1.9659,?,?,?,2.693e-05,1.7182,30.5,?,?,7.96,1462,64,0.0409828,0.101779,0.217178,0.40303,0.774962,'no','no',0.0660056378692389,0.644048920366913,0.0934894201345742,0.301969388732687,0.230047446442768,0.301472954917699,0.587362329242751,0.550886719487607,0.112708233529702,0.0353284906595945,0.117191753815860,0.716932333307341,0.614487675949931,0.939390315441415,0.732462719781324,0.812858706805855,0.243124784203246,0.119208769639954,0.763826347189024,0.40875650360249,0.608110690489411,0.392286708345637,0.455960216931999,0.0637350070755929,0.897650252562016,0.362051797797903,0.220158175332472,0.240164695540443,0.976528131403029,0.403030791552737,0.450168012175709,0.822715781163424,0.982230860972777,0.690485901897773,0.418476744554937,0.509875459130853,0.0517879317048937,0.526192357763648,0.802860539406538,0.350003637839109
2.43,-0.7727,?,?,?,?,1.8777,47.4,?,?,8.73,240,1.024,0.0401463,0.120785,0.292031,0.555503,0.886694,'yes','yes',0.831860536243767,0.287508242763579,0.154932990903035,0.596699374029413,0.389013495529070,0.241391204530373,0.462540557608008,0.778364751720801,0.0632392382249236,0.67834405368194,0.883778143906966,0.69006162812002,0.967109505087137,0.65142431249842,0.227655444992706,0.94466882594861,0.121100903023034,0.0228541546966881,0.55059797805734,0.0804522025864571,0.785508803557605,0.452887918334454,0.689761003712192,0.414345315191895,0.321272697066888,0.653117739362642,0.298206354491413,0.333276550751179,0.504465493606403,0.243542211363092,0.417678009252995,0.590854438021779,0.148386367131025,0.109499214449897,0.377516245702282,0.760234352899715,0.356736811809242,0.340039712609723,0.239018702879548,0.134639028925449
1.331,-1.163,?,?,?,?,1.911,76.4,?,?,25.57,2183,1.024,0.0151024,0.0534918,0.155401,0.376221,0.801266,'yes','no',0.831345483195037,0.769512423779815,0.392105819424614,0.134908262174577,0.505513134412467,0.0585171799175441,0.520867423387244,0.97226902958937,0.570587661117315,0.270705494564027,0.488341972464696,0.574510327307507,0.0428075713571161,0.147436802042648,0.753577738534659,0.272477417718619,0.538777705747634,0.719866780331358,0.481064235325903,0.175819038879126,0.711634828243405,0.794323416193947,0.0351363057270646,0.348844868596643,0.602742407238111,0.885859366972,0.748455095570534,0.691422779578716,0.919784013181925,0.895470829447731,0.211409405805171,0.0729987286031246,0.245045458897948,0.950357741676271,0.445318193407729,0.191489668563008,0.154694818193093,0.422010787762702,0.669192853150889,0.510540226474404
