@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute zero numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@data
2.2,'yes',0,0.371770571917295,0.545855088159442,0.676710303639993,0.977775734150782,0.508548857877031,0.335646397434175,0.589197488268837,0.396408437052742,0.838778605917469,0.97771657537669,0.939906225074083,0.661424115300179,0.200229277601466,0.152747211512178,0.176591282710433,0.333129076519981,0.701328107621521,0.420977483503520,0.473538793157786,0.509709132835269,0.597731182584539,0.489481486612931,0.459556471090764,0.117815054254606,0.790966613451019,0.77012564893812,0.500056514982134,0.802838175324723,0.570674893446267,0.738552365684882
1.505,'no',0,0.902533765882254,0.759170209057629,0.386908984044567,0.896156272850931,0.724505003541708,0.354316251352429,0.0805082384031266,0.238323524827138,0.165012882091105,0.58126239455305,0.87946303980425,0.634807218564674,0.512986913323402,0.882142930757254,0.537649106932804,0.133115383796394,0.917221165262163,0.936126361135393,0.858280365355313,0.57580664427951,0.771964677609503,0.991454305360094,0.484588740859181,0.765142334392294,0.46237886371091,0.236857749288902,0.786243526730686,0.0867038327269256,0.573590389685705,0.676393036963418
1.51,'yes',0,0.384360325988382,0.288446980528533,0.674505282426253,0.750053728697821,0.401401195442304,0.540276173735037,0.331588274566457,0.241128941765055,0.948456260142848,0.287068317644298,0.308208743110299,0.644238509237766,0.589451075997204,0.347036030609161,0.37598186917603,0.672108060447499,0.039926327066496,0.179768127622083,0.520410887431353,0.54457421018742,0.753640093840659,0.380311265820637,0.538900093873963,0.8054745180998,0.659223268274218,0.644074136856943,0.110929996473715,0.0979132852517068,0.974620091030374,0.448536957148463
2.602,'yes',0,0.380309359170496,0.830714315874502,0.354291833471507,0.0341988196596503,0.392046163557097,0.0465376852080226,0.845669871894643,0.0125315762124956,0.631039378000423,0.065739884506911,0.538792564533651,0.33934959792532,0.79573889169842,0.936854080529884,0.0288100964389741,0.608559948857874,0.427785461768508,0.590607486665249,0.364330141339451,0.91550070582889,0.260388018097728,0.822825982701033,0.483274483354762,0.738239215686917,0.225821564439684,0.403672907268628,0.510523917153478,0.751390816643834,0.182100703241304,0.397998348809779
0.757,'no',0,0.280891379574314,0.55369379511103,0.634001234080642,0.537736241705716,0.250120757380500,0.719110172940418,0.0571288568899035,0.136258508311585,0.743544362252578,0.124247320694849,0.74842034955509,0.493867314653471,0.697015926474705,0.00652060098946095,0.217580460244790,0.82705565681681,0.551458788570017,0.71574056125246,0.101094295037910,0.88728009373881,0.514927200507373,0.502912800060585,0.01481933449395,0.85317528899759,0.838191408663988,0.930926847504452,0.0882368735037744,0.600185409421101,0.609265797538683,0.476026935037225
0.125,'yes',0,0.53762052510865,0.77789972978644,0.297663824399933,0.869786829221994,0.922447972465307,0.532061165897176,0.455677051562816,0.895646947668865,0.804528722772375,0.58870869060047,0.743968995288014,0.816177447326481,0.316017027013004,0.0137864288408309,0.608346179127693,0.659703948767856,0.158542320830747,0.530955135822296,0.120197031414136,0.0686170312110335,0.250175263965502,0.62589671020396,0.597241980955005,0.374046242795885,0.217364963842556,0.164332834305242,0.316441002767533,0.568029114278033,0.0654705532360822,0.840960765723139
0.258,'no',0,0.295405748300254,0.769617318874225,0.301242979243398,0.282594416756183,0.76979113323614,0.573003529803827,0.923390125622973,0.253301971592009,0.960498322499916,0.271160754840821,0.692172116832808,0.0231502084061503,0.872482565464452,0.245276374509558,0.592618227703497,0.62203300697729,0.909403859637678,0.177541841985658,0.992472576210275,0.930772053543478,0.205404269276187,0.407961396733299,0.92243740404956,0.71617061784491,0.851087968098,0.703403144143522,0.771669038804248,0.808847544481978,0.384232395794243,0.525637736311182
3.686,'no',0,0.566009880509228,0.865591966547072,0.181416690349579,0.0246606064029038,0.660836385563016,0.537174156168476,0.703567518852651,0.633806579513475,0.457386247348040,0.177543490426615,0.163063664920628,0.613331572152674,0.872423680732027,0.454214137047529,0.644633038667962,0.930090718204156,0.785973630147055,0.860291187884286,0.461195554817095,0.296085693174973,0.251716541592032,0.76482665236108,0.314320126082748,0.695994570618495,0.103891111444682,0.0185262521263212,0.835295375902206,0.316603480372578,0.107020111521706,0.488155665108934
2.43,'yes',0,0.816414248896763,0.196915466338396,0.351215111324564,0.00256540765985847,0.217735377606004,0.674395494628698,0.975581189151853,0.488748388364911,0.0631024311296642,0.420276314252988,0.61011427314952,0.0775844026356936,0.0798850455321372,0.545565258245915,0.623645762912929,0.261818525148556,0.340353924315423,0.4196007468272,0.474566319724545,0.138846004847437,0.0760745923034847,0.63989620981738,0.637539773946628,0.765143508091569,0.736485923174769,0.694561441196129,0.525433784816414,0.88635576236993,0.349698228528723,0.357226938707754
1.331,'no',0,0.059565310832113,0.88266562577337,0.895407515577972,0.747895169537514,0.397562800208107,0.7824050814379,0.467564828926697,0.842782012419775,0.237814029911533,0.781121924286708,0.344952423125505,0.462325818138197,0.0486684846691787,0.872157044475898,0.879639069084078,0.119811375392601,0.869835894322023,0.136998658301309,0.00524028716608882,0.27172518777661,0.140508140437305,0.504815211053938,0.599160176236182,0.331473854836076,0.158269538078457,0.0642423632089049,0.177631860831752,0.318769162520766,0.710564101114869,0.630448076175526
