@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute zero numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@attribute useless33 numeric
@attribute useless34 numeric
@attribute useless35 numeric
@attribute useless36 numeric
@attribute useless37 numeric
@attribute useless38 numeric
@attribute useless39 numeric
@attribute useless40 numeric
@attribute useless41 numeric
@attribute useless42 numeric
@attribute useless43 numeric
@attribute useless44 numeric
@attribute useless45 numeric
@attribute useless46 numeric
@attribute useless47 numeric
@attribute useless48 numeric
@attribute useless49 numeric
@attribute useless50 numeric
@data
2.2,'yes',0,0.0256438949145377,0.907086997060105,0.205160917481408,0.586258063558489,0.061354712350294,0.918532411800697,0.410198933212087,0.218681795755401,0.0264811038505286,0.0924188354983926,0.774192865937948,0.128557277843356,0.880723084090278,0.906540281139314,0.718085488537326,0.345604683505371,0.756593266036361,0.202405072283000,0.937839780235663,0.551364643033594,0.676820963155478,0.446425507077947,0.820416404632851,0.221243529347703,0.880902039352804,0.47560550365597,0.295498870313168,0.355622597970068,0.158767076907679,0.769461219897494,0.680910614784807,0.244507073657587,0.404280617367476,0.626997551182285,0.769969000248238,0.316376170609146,0.386026697931811,0.355926163494587,0.535369111225009,0.90920893009752,0.94136233953759,0.480924014700577,0.513999293092638,0.0926739361602813,0.0756906666792929,0.680978586431593,0.501545309554785,0.763106842758134,0.91400456870906,0.905799006810412
1.505,'no',0,0.12823932711035,0.670039419317618,0.491957102669403,0.0885564549826086,0.90524734579958,0.357349392957985,0.667984991334379,0.0314161428250372,0.9570627566427,0.835255736717954,0.739212495274842,0.350311928428710,0.279617554508150,0.719941516639665,0.0683473420795053,0.874785712454468,0.723993270192295,0.704954125685617,0.545422572875395,0.234490207163617,0.916092686820775,0.150121462298557,0.82003554305993,0.184834435116500,0.773331974167377,0.663123640231788,0.399090468883514,0.951411814894527,0.522102028597146,0.176892567658797,0.667971429415047,0.670820029918104,0.380606590071693,0.015834117308259,0.131610314594582,0.079766429727897,0.230164729990065,0.373209485318512,0.493406855501235,0.538439117372036,0.758642818778753,0.260473839240149,0.0437394462060183,0.324948051245883,0.393572908593342,0.105910759419203,0.929288434330374,0.0266935222316533,0.342955766711384,0.74474902334623
1.51,'yes',0,0.432284296723083,0.496688525890931,0.628261882578954,0.311604860471562,0.874706511385739,0.883008679840714,0.524719208013266,0.240884827217087,0.67596246721223,0.579083958640695,0.438076338497922,0.469288965919986,0.180240320274606,0.922987663652748,0.106426880462095,0.728022762108594,0.855706993490458,0.959147453075275,0.0527813939843327,0.832504953024909,0.642074586590752,0.60242052283138,0.842044102959335,0.0613538501784205,0.662541204597801,0.547612705267966,0.675955338170752,0.764756737742573,0.301977747818455,0.639417566126212,0.690769102191553,0.734854723326862,0.508745118044317,0.716739916009828,0.850503297755495,0.544399743201211,0.262574761640280,0.723126380471513,0.646700694225729,0.649569165427238,0.0357112577185035,0.327448283089325,0.741078915307298,0.303787685697898,0.471719099208713,0.179098622873425,0.867993643973023,0.554936641594395,0.546778494259343,0.754471056628972
2.602,'yes',0,0.876640979666263,0.956504946108907,0.237745274789631,0.140870206756517,0.628636206733063,0.41618784237653,0.41670716390945,0.350576695054770,0.601177631877363,0.925505123334005,0.608978648902848,0.241471162298694,0.102082702331245,0.798826219979674,0.704767734045163,0.275331429438666,0.618476629490033,0.928645271575078,0.448121830821037,0.844716090708971,0.477894351584837,0.864238814916462,0.617427465040237,0.0840866414364427,0.74129415396601,0.896222247276455,0.093406657455489,0.532842593966052,0.180956475669518,0.718689320143312,0.895249300636351,0.318085609702393,0.131294465623796,0.318958024028689,0.371500622248277,0.96482768212445,0.342020342359319,0.253782289801165,0.215319381793961,0.209000909235328,0.455510926665738,0.825610779691488,0.176025568507612,0.376964235678315,0.857284095836803,0.855898945592344,0.427536435192451,0.215682480018586,0.935587971704081,0.0099209405016154
0.757,'no',0,0.952494578901678,0.773821735056117,0.532664008671418,0.596987989731133,0.678156328154728,0.359017390059307,0.256746844388545,0.97992176702246,0.709939915686846,0.201630484778434,0.0851631169207394,0.555212343810126,0.745541962562129,0.217331339372322,0.773946427972987,0.6549289484974,0.720301211345941,0.129643464693800,0.733674984658137,0.967059937072918,0.665539114270359,0.299643342848867,0.442231095395982,0.06156683457084,0.370461495360360,0.255194969940931,0.102640470955521,0.490381028968841,0.850603258470073,0.771728133084252,0.72079997160472,0.355943955481052,0.91235546162352,0.203827558783814,0.543274376541376,0.765766716329381,0.744307641871274,0.466536368243396,0.233327159425244,0.436882249079645,0.565113295568153,0.0170765283983201,0.680080751422793,0.293476163642481,0.873774780659005,0.828158502932638,0.849158889148384,0.647605910664424,0.241672860458493,0.420374615117908
0.125,'yes',0,0.75926240044646,0.105015530018136,0.840332206804305,0.0700874370522797,0.157897778088227,0.825509695801884,0.0490535220596939,0.780804071808234,0.603354640537873,0.922855294076726,0.647547533037141,0.22740445449017,0.327245887368917,0.884026088519022,0.371849295217544,0.198070466984063,0.534612223040313,0.638059014687315,0.0180669962428510,0.422228444134817,0.500894171884283,0.26754949381575,0.292205987730995,0.727626089705154,0.982692382996902,0.90507653914392,0.267644653329626,0.161593513330445,0.172465624520555,0.755763147724792,0.192148574860767,0.444186692591757,0.159521956462413,0.0762472255155444,0.272054422413930,0.753186357440427,0.208521493012086,0.464139853138477,0.770304590230808,0.576051546027884,0.980812036199495,0.764534306246787,0.644089858280495,0.0900343833491206,0.185581801459193,0.591976679628715,0.97725496487692,0.939921019598842,0.146782901138067,0.321975321974605
0.258,'no',0,0.977737248176709,0.68203701870516,0.552807239815593,0.77934044203721,0.0870850877836347,0.366430678870529,0.877000624546781,0.31436019577086,0.331242349231616,0.582502474542707,0.101885236334056,0.537800015183166,0.0397235292475671,0.237727264640853,0.294685180764645,0.159230118850246,0.376845300430432,0.96086458885111,0.181883764220402,0.697832884499803,0.102990467334166,0.477654955815524,0.41734797693789,0.271049702307209,0.218714002287015,0.321387503761798,0.163171135121956,0.363485742360353,0.639152551069856,0.0178667511790991,0.704597448697314,0.366483461111784,0.52915804553777,0.719185550231487,0.174492066027597,0.976227910723537,0.297358010662720,0.421862195478752,0.326257115462795,0.205438290024176,0.227673606015742,0.376582427881658,0.516779546625912,0.241676113335416,0.985197436995804,0.704052064800635,0.921109043294564,0.0431073931977153,0.961609938880429,0.701008584117517
3.686,'no',0,0.0537196567747742,0.0069156417157501,0.0706129190512002,0.267191540449858,0.608973415568471,0.894062193343416,0.554379025707021,0.704832691000775,0.927792332600802,0.79231208190322,0.83579654362984,0.614734365837649,0.609218096360564,0.9992267168127,0.374300590716302,0.871076107257977,0.00288888532668352,0.0361530443187803,0.823430543998256,0.967225536005571,0.272379846777767,0.792772702174261,0.715724475448951,0.244469580240548,0.205317124025896,0.32506067911163,0.709682250162587,0.912125236354768,0.696691915858537,0.364344195229933,0.494937644805759,0.905183088500053,0.907875242177397,0.578534173546359,0.418073285138234,0.788910470670089,0.99342937185429,0.537772198673338,0.794792973669246,0.946131432894617,0.679284772835672,0.986031419597566,0.872993323719129,0.844533468363807,0.721792214084417,0.714804070536047,0.786484089214355,0.13033089437522,0.763269029790536,0.979866739595309
2.43,'yes',0,0.322913109557703,0.249215955147520,0.775193088687956,0.754849802237004,0.939124305732548,0.30860848701559,0.67551778210327,0.134916488779709,0.114568909397349,0.695790477795526,0.49422923498787,0.910954059800133,0.795884844614193,0.411613313714042,0.532015963457525,0.918069077190012,0.230249324114993,0.095174560090527,0.823507505934685,0.703254993073642,0.758847315097228,0.532735039712861,0.614340160042048,0.150565404677764,0.114463147241622,0.203566369367763,0.486821675440297,0.0743308092933148,0.113006659783423,0.788648838177323,0.0393051085993648,0.840909916907549,0.341418165713549,0.541641039308161,0.259124636417255,0.565169469453394,0.799222830450162,0.687323368852958,0.996694406494498,0.549431993626058,0.328547773184255,0.8303638829384,0.0348866467829794,0.954212622018531,0.486097063636407,0.733271135948598,0.61571855051443,0.204042023280635,0.458592816721648,0.522690994897857
1.331,'no',0,0.357146842870861,0.898500780574977,0.128457640297711,0.952908904058859,0.554153592791408,0.631442097714171,0.982192964525893,0.65809231926687,0.982600706163794,0.290203959913924,0.0402929794508964,0.927685152273625,0.167651390656829,0.59609328280203,0.943507025251165,0.254924983484671,0.561417890479788,0.680563394445926,0.44792041182518,0.114473951281980,0.165976994670928,0.0532791512086987,0.718214438762516,0.432299100561067,0.173909072298557,0.0480658963788301,0.244691801955923,0.249818735988811,0.0360566566232592,0.886730375466868,0.590547814266756,0.615995649015531,0.953141673002392,0.941595645388588,0.666793040698394,0.614250072743744,0.904739218065515,0.724531786050647,0.672562084160745,0.625860941363499,0.588279750663787,0.50126409297809,0.432273035869002,0.539883714867756,0.963073153048754,0.472048043971881,0.176108634565026,0.946328716585413,0.923527958337218,0.632603944279253
