@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@attribute useless33 numeric
@attribute useless34 numeric
@attribute useless35 numeric
@attribute useless36 numeric
@attribute useless37 numeric
@attribute useless38 numeric
@attribute useless39 numeric
@attribute useless40 numeric
@attribute useless41 numeric
@attribute useless42 numeric
@attribute useless43 numeric
@attribute useless44 numeric
@attribute useless45 numeric
@attribute useless46 numeric
@attribute useless47 numeric
@attribute useless48 numeric
@attribute useless49 numeric
@attribute useless50 numeric
@attribute useless51 numeric
@attribute useless52 numeric
@attribute useless53 numeric
@attribute useless54 numeric
@attribute useless55 numeric
@attribute useless56 numeric
@attribute useless57 numeric
@attribute useless58 numeric
@attribute useless59 numeric
@attribute useless60 numeric
@attribute useless61 numeric
@attribute useless62 numeric
@attribute useless63 numeric
@attribute useless64 numeric
@attribute useless65 numeric
@attribute useless66 numeric
@attribute useless67 numeric
@attribute useless68 numeric
@attribute useless69 numeric
@attribute useless70 numeric
@data
0.297,'no ',0,0.0227844694163650,0.85811269376427,0.339069571113214,0.361833747010678,0.254950848175213,0.600125387078151,0.223964360775426,0.335356097435579,0.649770021671429,0.32401416474022,0.232578822178766,0.460125530138612,0.640867375070229,0.543852299684659,0.211779513163492,0.0536078971344978,0.944725366542116,0.100784296635538,0.265071973437443,0.747475429205224,0.135058498708531,0.4537455199752,0.301163527183235,0.648940205108374,0.841376041760668,0.135479109361768,0.930492257000878,0.726774448994547,0.441627318272367,0.603475896408781,0.0791419006418437,0.285974264843389,0.709458182565868,0.75305263302289,0.682256640400738,0.211201922502369,0.702592483954504,0.0826765156816691,0.234477713704109,0.257245271932334,0.234790136804804,0.645085574593395,0.172068944666535,0.572222532471642,0.198856929782778,0.0330011327750981,0.74754289840348,0.275115145603195,0.729016462806612,0.346840322250500,0.530570516129956,0.493670273572206,0.0829026377759874,0.81081749801524,0.81244163098745,0.252270103897899,0.125243462622166,0.946306542493403,0.874386966461316,0.0145371218677610,0.00858288630843163,0.043438951484859,0.868427757173777,0.78919617459178,0.0789783999789506,0.98644969239831,0.185410611098632,0.733492593280971,0.86061465437524,0.757469584932551
2.2,'yes',0,0.308197431731969,0.136320448247716,0.901739704655483,0.526001015678048,0.0217915975954384,0.656146836234257,0.0476075888145715,0.829048278043047,0.358900658087805,0.40946990554221,0.438940006541088,0.66073846607469,0.822971160756424,0.0236376347020268,0.375786287942901,0.494520898209885,0.984535499243066,0.78940015588887,0.139091565506533,0.687369485152885,0.849163986509666,0.542478072922677,0.900989789981395,0.525907061528414,0.236760188126937,0.474176428513601,0.569484874140471,0.0775265994016081,0.475495581515133,0.285043483832851,0.387548199621961,0.746210145996884,0.320660030003637,0.977026433916762,0.326332538388669,0.448250035056844,0.0450105227064341,0.143851446686313,0.0915263730566949,0.896882579196244,0.428194594336674,0.571951702237129,0.556975204031914,0.392586034955457,0.546121141407639,0.0471328506246209,0.830558464862406,0.452612857799977,0.542772584361956,0.52675506984815,0.816869664005935,0.493017307249829,0.746571354800835,0.537973908474669,0.89730306621641,0.9293997308705,0.804829171393067,0.445196462795138,0.97802172624506,0.745513152331114,0.073423286434263,0.325116758001968,0.952426322037354,0.291030127322301,0.79517472232692,0.28137540188618,0.743689857423306,0.111410289537162,0.0683549619279802,0.179508029716089
1.505,'no ',0,0.737718736520037,0.925782941514626,0.0960731415543705,0.742277912329882,0.93264045077376,0.936438888078555,0.242339985445142,0.601116227451712,0.299070609034970,0.818745211232454,0.891648908378556,0.271118130767718,0.75848984438926,0.794244450516999,0.387168219778687,0.228384662652388,0.83542523579672,0.408523762365803,0.611922191921622,0.423142881598324,0.711555948480964,0.346217690501362,0.0698554799892008,0.39851428871043,0.259378721239045,0.273336898768321,0.466901331674308,0.433643738273531,0.932230176404119,0.0417791390791535,0.356253893580288,0.603188620647416,0.111715339589864,0.903667071368545,0.193696866044775,0.305846482282504,0.213109068572521,0.257794664008543,0.533721334766597,0.931414889870211,0.950464773224667,0.582115723285824,0.184155356837437,0.0533159105107188,0.894807256991044,0.305844017071649,0.589126168517396,0.464614524971694,0.399181202286854,0.555989456130192,0.169126088265330,0.386729984777048,0.707194743910804,0.770883199293166,0.682045942172408,0.222671116003767,0.0565540953539312,0.164626330137253,0.370283525902778,0.287988084135577,0.435679482063279,0.142232894897461,0.636979717761278,0.422510246746242,0.452952511142939,0.191096149384975,0.239063264336437,0.961480436846614,0.097040073480457,0.95155676570721
1.51,'yes',0,0.240766765084118,0.507789901457727,0.88862597825937,0.375252344179899,0.117352194385603,0.440028913551942,0.786135236499831,0.310756142949685,0.247896232875064,0.425813147099689,0.187956121051684,0.839979149866849,0.417142478050664,0.21515772305429,0.769146885490045,0.268661621492356,0.371989647392184,0.110684529179707,0.593943088781089,0.263324751518667,0.765606531407684,0.406982662621886,0.70422550314106,0.277551012113690,0.375614881049842,0.400416672928259,0.923753198003396,0.0773706813342869,0.70600106404163,0.145457100123167,0.983856818871573,0.59454455669038,0.908811195753515,0.659508769400418,0.078204685356468,0.701312597841024,0.0833198488689959,0.709312192862853,0.582548075122759,0.822875676909462,0.401061965385452,0.528403394855559,0.0214414033107460,0.601554155582562,0.252760565374047,0.958348814863712,0.989419458201155,0.264249585568905,0.867953578708693,0.119730710517615,0.447392560308799,0.789365909062326,0.35173822985962,0.00364769157022238,0.384274577954784,0.295408870326355,0.0404928643256426,0.814446872798726,0.891538683092222,0.452330500353128,0.785877033835277,0.378115894971415,0.829863336868584,0.830245685297996,0.951945061096922,0.048045908799395,0.336892428109422,0.64620436145924,0.364121095277369,0.0922692499589175
2.602,'yes',0,0.691128543345258,0.297564036445692,0.0120322387665510,0.0364293528255075,0.800129829905927,0.0118376731406897,0.30353703093715,0.461009653983638,0.372556504327804,0.270673000020906,0.924879937199876,0.0831819530576468,0.872913216706365,0.701062709558755,0.381214541150257,0.389090983197093,0.185528403846547,0.413559895474464,0.636441530426964,0.904232190921903,0.695315958466381,0.415714383125305,0.694705742644146,0.20431400090456,0.0466150720603764,0.283856785390526,0.400692239403725,0.166495334357023,0.780471173347905,0.747395326616243,0.807415023911744,0.749155831057578,0.242137463297695,0.632432942977175,0.983692988520488,0.131326786708087,0.603770185494795,0.668538266327232,0.844204282388091,0.0800775228999555,0.307311825454235,0.87862720224075,0.397343062097207,0.521219791145995,0.0725823021493852,0.355760315200314,0.355574382236227,0.0868522289674729,0.100512978387997,0.72745986096561,0.505140826571733,0.375484440708533,0.135864534880966,0.571051736129448,0.328845079755411,0.165612973272800,0.646368422545493,0.246992679079995,0.37359310593456,0.361245260108262,0.0545137282460928,0.475020261947066,0.0140457844827324,0.335161488270387,0.182546849595383,0.885925949783996,0.73920229030773,0.641788844717667,0.0350763322785497,0.320666156243533
0.757,'no ',0,0.210170359117910,0.544773697387427,0.641699144383892,0.425816686358303,0.674836535239592,0.568869134411216,0.417777225608006,0.44088330375962,0.0382380390074104,0.193317619385198,0.0828385634813458,0.631622627843171,0.327528012916446,0.391536782495677,0.927722621941939,0.320771924918517,0.0650013303384185,0.107485611923039,0.0763727326411754,0.671563263982534,0.140657360665500,0.857807446736842,0.390208219410852,0.987361279781908,0.716788560850546,0.811765672406182,0.0963676357641816,0.846352698281407,0.762238460592926,0.376690444070846,0.956351852510124,0.153414163971320,0.793566862819716,0.666323816403747,0.614217985421419,0.518501974642277,0.589267113711685,0.988304451107979,0.942666691727936,0.300509296124801,0.323098046006635,0.439057824667543,0.271978709381074,0.231851780088618,0.208582192659378,0.829407860757783,0.886164053808898,0.280135655310005,0.827897656708956,0.98592475312762,0.546521277399734,0.950053536100313,0.709374819882214,0.22024928429164,0.313281317939982,0.547006524633616,0.921613609185442,0.130657044705003,0.689867907669395,0.230927848489955,0.268299740506336,0.272993706865236,0.0681184050627053,0.299438059562817,0.448541142046452,0.149245575303212,0.319476841017604,0.742695818422362,0.478344330796972,0.69511899119243
0.125,'yes',0,0.48221049667336,0.949981458950788,0.705159853212535,0.928248984273523,0.214588840026408,0.747874472057447,0.699058418394998,0.105656342813745,0.70167242642492,0.194954043021426,0.607751697069034,0.236587366322055,0.330846570897847,0.780632733367383,0.576484664110467,0.944767277222127,0.183018609648570,0.852655394934118,0.761230590520427,0.555487053468823,0.911820561625063,0.31311074574478,0.71733134589158,0.483089880552143,0.627930774120614,0.448424834758043,0.67044414463453,0.867978864349425,0.0346386353485286,0.225713537307456,0.438091050833464,0.9713559912052,0.36023347475566,0.591657852986827,0.272607950493693,0.71821157913655,0.293421222595498,0.339128130115569,0.94052001973614,0.667729313019663,0.855949366698042,0.794109609909356,0.634514277335256,0.782116841059178,0.0626516963820904,0.918525606859475,0.523245612857863,0.116292345570400,0.355559145333245,0.38209239160642,0.211876600049436,0.965796867152676,0.221477796556428,0.688251976156607,0.17580838361755,0.314978388138115,0.731679109157994,0.0736360198352486,0.890025998232886,0.562512658769265,0.966364764142781,0.0162141548935324,0.599740537814796,0.814533838769421,0.154047997202724,0.401271881069988,0.39781459630467,0.655657037626952,0.524326145648956,0.354552275966853
0.258,'no ',0,0.770066259196028,0.549683736637235,0.222056109225377,0.640986731043085,0.237083424581215,0.139752953778952,0.274171014549211,0.902559506706893,0.963382980320603,0.742692077765241,0.272518837125972,0.614024234004319,0.0501789201516658,0.587027344852686,0.955448990920559,0.829950955463573,0.185154200764373,0.767654234310612,0.382511988980696,0.59783854149282,0.813323645386845,0.459809699561447,0.270769255701452,0.857178191188723,0.666013658978045,0.424532103352249,0.489529101876542,0.0378665539901704,0.182124524144456,0.437080629402772,0.829181891167536,0.384013418108225,0.850869891932234,0.506801204988733,0.428433301392943,0.81522937817499,0.97216975921765,0.309831664664671,0.867768753087148,0.866483924910426,0.925514847273007,0.962886619847268,0.406084213638678,0.465166029287502,0.319099731277674,0.516784679144621,0.836419533239678,0.141232440248132,0.113127345684916,0.0191742542665452,0.979734070366248,0.630547727225348,0.72680120007135,0.76222312822938,0.640047242166474,0.796151522779837,0.359917950350791,0.488615439971909,0.442505742423236,0.578410378657281,0.119451444130391,0.760038080159575,0.205951887415722,0.132072359789163,0.0423284464050084,0.946364401606843,0.852410936262459,0.126261671772227,0.851386136375368,0.248241647379473
3.686,'no ',0,0.613502240041271,0.250655603129417,0.94267808413133,0.0646538904402405,0.274504896951839,0.682358346646652,0.418172655627131,0.567586123012006,0.306419400963932,0.0191282837186009,0.914312653476372,0.897063987562433,0.180351908318698,0.763273867079988,0.517697207862511,0.55012065032497,0.615158076863736,0.423405829351395,0.536789340665564,0.511152456980199,0.295458313077688,0.246549680596218,0.496479150606319,0.334767419146374,0.753481567837298,0.560546142980456,0.523282449226826,0.0670406217686832,0.0446012036409229,0.716001022839919,0.864077345002443,0.633952028118074,0.157972069457173,0.181341608986259,0.706244235159829,0.459805692080408,0.917616329155862,0.618790130130947,0.700565485982224,0.104281898820773,0.979428302729502,0.107217260636389,0.858721261844039,0.0750396263319999,0.918872928712517,0.215872829779983,0.636256954399869,0.263438386842608,0.515426736092195,0.1038606709335,0.165377939818427,0.641784342937171,0.842018479248509,0.766816157381982,0.71079748030752,0.00164496875368059,0.163998030126095,0.017797595821321,0.363909394247457,0.693787179654464,0.164618445793167,0.229524147696793,0.325008313637227,0.892495554406196,0.884116352070123,0.261238825507462,0.077679384034127,0.592429379466921,0.103166640037671,0.792902863584459
2.43,'yes',0,0.0664381156675518,0.905390215106308,0.662286376813427,0.151246711378917,0.0728000767994672,0.353577038971707,0.0834822384640574,0.798058617860079,0.516874881926924,0.911735862027854,0.928260204615071,0.0981530763674527,0.863804524298757,0.382105161668733,0.286173231666908,0.0195804268587381,0.0309833455830812,0.624526547268033,0.966126648476347,0.427001544740051,0.76374982832931,0.193583546672016,0.493076517246664,0.115130309946835,0.62343149096705,0.955945138819516,0.979007535381243,0.622916500549763,0.115569529589266,0.871022480074316,0.141119687119499,0.840317736146972,0.063724159495905,0.903346170438454,0.405609482433647,0.394744626712054,0.0522801680490375,0.140766400611028,0.837568880058825,0.150797704001889,0.0449494146741927,0.843420512741432,0.836230502463877,0.637645772192627,0.582937920698896,0.311214338056743,0.0880892877466977,0.954443264286965,0.219721570843831,0.112706069136038,0.730823858408257,0.417799779679626,0.908516497118399,0.766093354905024,0.146038246108219,0.820385852828622,0.545732214581221,0.0313967876136303,0.707995322532952,0.412669762037694,0.171415717341006,0.83286982960999,0.582436527358368,0.636981422547251,0.191321546211839,0.897108414210379,0.191654128022492,0.653810265241191,0.56289794575423,0.164398599416018
