@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@data
2.2,-1.033,164.6,9.019e-06,31.1,0.009,61.74,7.49,143,1.024,0.08176,'yes','yes','319016',0.863283932674676,0.450846535852179,0.0379665484651923,0.701487795216963,0.621296257246286,0.0177928393241018,0.826222102157772,0.297893235227093,0.744173790095374,0.611802736762911,0.232811518013477,0.0412179038394243,0.989084597444162,0.7684069017414,0.930744569050148,0.462649160297588,0.162617700640112,0.425330639118329,0.640262548113242,0.413210012018681,0.996089609572664,0.71916797850281,0.338397187646478,0.572525294264778,0.545079043367878,0.487760784802958,0.574215591885149,0.56726655876264,0.149798059137538,0.0804242873564363,0.985357931349427,0.463712084805593
1.505,-1.54,151,4.47e-06,49.7,0.194,111.8,8.81,224,1.024,0.1589,'yes','no','319036',0.622077380539849,0.159625523723662,0.433805482462049,0.750955496449023,0.813101827166975,0.52624617703259,0.169787841849029,0.881565320771188,0.153792419238016,0.628964699339122,0.300948474556208,0.0171281222719699,0.636690862942487,0.283649631775916,0.987884214846417,0.0791158811189234,0.53240936761722,0.077262737089768,0.996908606728539,0.457127836532891,0.262857174966484,0.880419523688033,0.268666912103072,0.697583934757859,0.726623246911913,0.542557250475511,0.944872672203928,0.088007046841085,0.579181876033545,0.74009613902308,0.0565295463893563,0.83128281030804
1.51,?,27.89,4.41e-07,13.4,0.081,66.1,7.58,187,1.024,0.0862,'yes','yes','308041',0.536126208025962,0.83577495906502,0.120060147717595,0.464059216203168,0.472780818585306,0.566050939727575,0.56197356316261,0.323063854593784,0.136928236344829,0.0452759389299899,0.420695306733251,0.469821919919923,0.706234919140115,0.124645560514182,0.898343477165326,0.236776933772489,0.132918937364593,0.168291203211993,0.0908004727680236,0.858409373089671,0.350806395756081,0.119117993162945,0.797535580815747,0.115533617557958,0.664937103400007,0.54788127169013,0.703836382599548,0.607188983587548,0.46354761836119,0.1569455396384,0.592449382646009,0.608712024055421
2.602,-0.9507,283.3,3.411e-05,37.2,0.058,29.92,10.24,271,1.024,0.03663,'yes','yes','317508',0.526046659098938,0.0195126419421285,0.485527344746515,0.947266246657819,0.211207748623565,0.373991508502513,0.724513572175056,0.762896409025416,0.826734109781682,0.93013987573795,0.378311817534268,0.505523609463125,0.379928015638143,0.138066004030406,0.063035074621439,0.052139843814075,0.539950799196959,0.0489369558636099,0.558430867269635,0.948862901423126,0.302889307728037,0.745335149113089,0.887009730096906,0.241314296843484,0.727294569602236,0.164348212769255,0.0476442910730839,0.208695075241849,0.255802862579003,0.866490477928892,0.471080385847017,0.523495839908719
0.757,-1.556,76.69,2.015e-06,24.1,-0.047,47.04,7.33,286,2.048,0.1941,'yes','no','238108',0.500655336072668,0.93885317654349,0.179002962773666,0.850128357997164,0.789564413717017,0.257875423179939,0.199045634595677,0.933939923299477,0.376570599153638,0.990999727509916,0.400350409559906,0.383086172165349,0.801881794352084,0.962427838006988,0.240371415391564,0.346741623012349,0.148833617102355,0.306931983679533,0.410259545082226,0.964545557508245,0.208870859118178,0.876701820641756,0.900611337274313,0.95625758357346,0.653818958206102,0.372400768334046,0.308278100565076,0.800582708558068,0.575071358820423,0.316212564008310,0.734985659597442,0.828818728215992
0.125,-1.903,208.2,2.822e-05,191.9,0.014,108.8,18.45,563,1.024,0.06397,'yes','yes','214805',0.667143912287429,0.0462157521396875,0.163141118362546,0.294504772871733,0.76767734461464,0.114492989610881,0.692379551939666,0.796314740320668,0.141372079029679,0.430569504620507,0.935526944696903,0.479110793676227,0.90722693153657,0.336669508134946,0.266477631870657,0.233997474657372,0.745631731813774,0.721020448487252,0.101950349053368,0.65370391216129,0.682385227177292,0.395364176016301,0.675077024614438,0.142872054595500,0.687210197094828,0.375224383547902,0.648158711846918,0.949803837575018,0.424529917305335,0.869302126346156,0.00562930945307016,0.973115201340988
3.686,-1.966,?,3.558e-06,30.5,0.021,72.96,7.96,1462,64,0.1018,'no','no','228316',0.0523987878113985,0.399491464952007,0.913423391990364,0.415857410058379,0.604113765992224,0.611390189500526,0.164233765332028,0.487792969448492,0.324542805086821,0.662182978354394,0.380632375366986,0.133538763504475,0.494600053643808,0.684824651805684,0.99333309661597,0.310715969884768,0.384192478144541,0.211167773697525,0.781864241231233,0.557205062825233,0.307388446992263,0.20175922405906,0.197968183783814,0.64469701773487,0.643804836086929,0.373283427907154,0.95826318114996,0.263334174174815,0.913816130021587,0.144455115078017,0.865578128956258,0.00322584575042129
2.43,-0.7727,146,4.128e-06,47.4,0.018,18.48,8.73,240,1.024,0.1208,'yes','yes','228581',0.960425835801288,0.304867065977305,0.250484258402139,0.111749428790063,0.178935944335535,0.362154242116958,0.725109695689753,0.999322571791708,0.439574879361317,0.51235647732392,0.107210455229506,0.633890191791579,0.704709941986948,0.131402602186427,0.606271694879979,0.969241443788633,0.943384790793061,0.335021021077409,0.416140778223053,0.571040262235329,0.99839417124167,0.64072403893806,0.978295611450449,0.772878337884322,0.524604703066871,0.584212587913498,0.301894878270105,0.974499674048275,0.241473933681846,0.33817389421165,0.94244729471393,0.533256005262956
1.331,-1.163,132.4,3.4e-06,76.4,0.102,6.48,25.57,2183,1.024,0.05349,'yes','no','296805',0.258549515157938,0.267818477004766,0.0990122749935836,0.694656142033637,0.78942201868631,0.401434174971655,0.53028409788385,0.907928958069533,0.441798056708649,0.279160507954657,0.133169108303264,0.341216168133542,0.118649198906496,0.751641209702939,0.191703599644825,0.429821881465614,0.173940104665235,0.624493517680094,0.233900704188272,0.333947577280924,0.3673377095256,0.139642073540017,0.774593129986897,0.75452947546728,0.123681345023215,0.8815253211651,0.669525792822242,0.211638197535649,0.158583617303520,0.920584314037114,0.575268919346854,0.201450257096440
1.18,?,36.11,2.512e-07,18,-0.055,4.3,9.1,189,0.512,0.05863,'yes','yes','416103',0.446996072074398,0.136649009771645,0.283054142724723,0.0735964614432305,0.211940851062536,0.570407771039754,0.320198533125222,0.991816663183272,0.75721199135296,0.980917929904535,0.877956872107461,0.686128140892833,0.485206719953567,0.650645005749539,0.0667677791789174,0.322035874705762,0.823353664251044,0.0461630739737302,0.740639870520681,0.0239777248352766,0.448358721099794,0.165955770295113,0.993849463295192,0.438607175601646,0.233467878773808,0.339016795624048,0.218036495381966,0.99204089376144,0.514577256515622,0.677819897187874,0.955635183490813,0.198606217047200
0.059,?,32.42,2.23e-06,7.6,1.212,422,7.83,1835,64,0.1811,'no','no','416135',0.166354259010404,0.508496866328642,0.213088553631678,0.277685616631061,0.424264059169218,0.245765604544431,0.213431121781468,0.663009773939848,0.802998193539679,0.0311739891767502,0.147177903447300,0.329250293551013,0.713471072958782,0.262609862722456,0.305349999107420,0.675634171115234,0.767383392434567,0.983626731438562,0.719259510748088,0.730477834818885,0.789258965756744,0.630147565389052,0.589017242658883,0.336649875855073,0.549228797433898,0.315901333931834,0.979771876707673,0.577318560797721,0.402382780332118,0.382613304536790,0.442593343323097,0.66077564866282
1.16,?,41.97,2.059e-07,10.1,0.091,5.34,?,?,?,0.0992,?,'yes','279592',0.144074730807915,0.550216938601807,0.638634275179356,0.304780671605840,0.771986627951264,0.132343263830990,0.981392534216866,0.623401413904503,0.73149519157596,0.0455240595620126,0.341242987196892,0.505837594158947,0.748230006778613,0.371310876682401,0.78158433525823,0.408429235219955,0.740513406461105,0.557738937204704,0.781419123057276,0.265973713481799,0.615606678882614,0.478926273994148,0.295670989667997,0.345467586535960,0.40364842559211,0.347947711357847,0.838890912942588,0.440234415000305,0.906982167856768,0.822955152252689,0.56404868606478,0.649852521484718
1.547,-1.359,182.3,1.424e-05,35.5,0.079,30.69,9.37,239,2.048,0.07977,'yes','yes','338895',0.515474337851629,0.362747858744115,0.254318011691794,0.00648236135020852,0.099748379085213,0.610811302671209,0.207849258556962,0.168789696414024,0.65722585329786,0.148036724189296,0.0306084293406457,0.215054835658520,0.337414138484746,0.254309428157285,0.157362200785428,0.161101970821619,0.284882591338828,0.0501511376351118,0.904213657369837,0.0572826941497624,0.346541953971609,0.992663147393614,0.375996262766421,0.745843146694824,0.59511907119304,0.585520245833322,0.150683398358524,0.589879828039557,0.479598982725292,0.633959739701822,0.269195576896891,0.759682441363111
