@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780  ','106709  ','111063  ','111529 ','111622 ','113120  ','114753 ','117504  ','130088 ','131560 ','147478  ','148225 ','148646 ','148833  ','150314  ','151207 ','151905 ','152113  ','153514  ','154112 ','156467 ','163136 ','163170  ','163438 ','174738  ','176453  ','177408  ','177533  ','178750 ','179968  ','180455 ','180977  ','191157 ','192059 ','205851 ','207399 ','208169 ','209352  ','209755 ','211117 ','211957 ','213486 ','213630 ','213823 ','214805 ','217704 ','217805 ','219101 ','221755 ','228006 ','228316  ','228581 ','229185 ','231231  ','231362  ','232339  ','232683 ','238108  ','238174  ','239899 ','240766 ','252593  ','255445 ','259714  ','263361  ','271019 ','275087 ','276205 ','278693 ','278854 ','279592 ','280706 ','282003 ','282066  ','284856 ','285654 ','286809  ','287364 ','292934  ','293707  ','293795  ','294835  ','295670 ','296805  ','297114 ','299787 ','301981  ','302888 ','305288 ','306757 ','306778 ','308041 ','309010 ','309096 ','309111 ','310613 ','312047 ','313087 ','313116 ','313299 ','313417 ','316204 ','316534 ','317508 ','319016 ','319036  ','319584 ','323898 ','324561  ','324895 ','326115 ','330856 ','331093 ','332851  ','332931 ','334877  ','335105 ','336489 ','337914 ','338895 ','342121  ','346386 ','349510 ','350184  ','350311 ','352190  ','352648  ','353540 ','355083 ','357512 ','358422 ','359530 ','359711 ','359951 ','370791  ','370846 ','373172 ','373458 ','373674  ','374210 ','375246 ','377179 ','378559 ','412982 ','414592  ','416103 ','416135  ','419797 ','420398  ','421814  ','425151 '}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
0.297,'no','152113  ',0,0.521781149553135,0.283314643427730,0.405497235944495,0.156849048566073
2.2,'yes','319016 ',0,0.788295934675261,0.31572834495455,0.945433963323012,0.65952378581278
1.505,'no','319036  ',0,0.241922754794359,0.0442954034078866,0.952689816243947,0.288079364458099
1.51,'yes','308041 ',0,0.184014396043494,0.796865932177752,0.950246734078974,0.542213137727231
2.602,'yes','317508 ',0,0.0446995298843831,0.66504890145734,0.615784421795979,0.117499330779538
0.757,'no','238108  ',0,0.680970471119508,0.532018125988543,0.0179289390798658,0.307112970855087
0.125,'yes','214805 ',0,0.258373860968277,0.982291641877964,0.260801468743011,0.9287497731857
0.258,'no','147478  ',0,0.710167053854093,0.535168806323782,0.815702410181984,0.484989952063188
3.686,'no','228316  ',0,0.487121293321252,0.73053859709762,0.266835675807670,0.318084505386651
2.43,'yes','228581 ',0,0.446218765806407,0.3334053712897,0.547768285265192,0.95646032039076
1.331,'no','296805  ',0,0.571078849257901,0.600301057333127,0.531074076192454,0.0902250262442976
1.18,'yes','416103 ',0,0.513826475245878,0.512712302152067,0.89658604352735,0.975476040970534
0.059,'no','416135  ',0,0.73575737257488,0.202959761722013,0.291836730903015,0.93195276404731
1.16,'yes','279592 ',0,0.719089933205396,0.0404661048669368,0.780742998002097,0.798279171111062
1.547,'yes','338895 ',0,0.224835044005886,0.698611383559182,0.273988223168999,0.365559117402881
1.692,'yes','326115 ',0,0.96119694574736,0.0619959314353764,0.801812728401273,0.826008524512872
3.85,'no','352648  ',0,0.881517866626382,0.604020536877215,0.371627888875082,0.471553469309583
4.109,'no','352190  ',0,0.594474910292774,0.927098190644756,0.497049398720264,0.147020357195288
2.296,'yes','178750 ',0,0.329663789365441,0.968824952840805,0.97055788175203,0.608528373995796
0.6535,'yes','114753 ',0,0.421947162598372,0.721637671813369,0.230337795801461,0.970117706106976
2.711,'yes','219101 ',0,0.924971477594227,0.934633915312588,0.5704644350335,0.373146592872217
2.452,'yes','359711 ',0,0.51156338956207,0.637937870342284,0.974544261349365,0.851749030174688
4.6497,'no','342121  ',0,0.127938672201708,0.489120113663375,0.0149500551633537,0.338658423861489
2.77,'yes','337914 ',0,0.142464654054493,0.519114121794701,0.47068437281996,0.251875239424407
4.772,'no','421814  ',0,0.195614406839013,0.0860178372822702,0.518967960728332,0.854046470485628
2.58,'no','334877  ',0,0.095418451121077,0.261695880442858,0.549833453260362,0.72814113041386
