@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@attribute useless33 numeric
@attribute useless34 numeric
@attribute useless35 numeric
@attribute useless36 numeric
@attribute useless37 numeric
@attribute useless38 numeric
@attribute useless39 numeric
@attribute useless40 numeric
@attribute useless41 numeric
@attribute useless42 numeric
@attribute useless43 numeric
@attribute useless44 numeric
@attribute useless45 numeric
@attribute useless46 numeric
@attribute useless47 numeric
@attribute useless48 numeric
@attribute useless49 numeric
@attribute useless50 numeric
@attribute useless51 numeric
@attribute useless52 numeric
@attribute useless53 numeric
@attribute useless54 numeric
@attribute useless55 numeric
@attribute useless56 numeric
@attribute useless57 numeric
@attribute useless58 numeric
@attribute useless59 numeric
@attribute useless60 numeric
@attribute useless61 numeric
@attribute useless62 numeric
@attribute useless63 numeric
@attribute useless64 numeric
@attribute useless65 numeric
@attribute useless66 numeric
@attribute useless67 numeric
@attribute useless68 numeric
@attribute useless69 numeric
@attribute useless70 numeric
@attribute useless71 numeric
@attribute useless72 numeric
@attribute useless73 numeric
@attribute useless74 numeric
@attribute useless75 numeric
@attribute useless76 numeric
@attribute useless77 numeric
@attribute useless78 numeric
@attribute useless79 numeric
@attribute useless80 numeric
@data
0.297,'no ',0,0.241079704137519,0.0581673951819539,0.00263322493992746,0.147811405127868,0.110984593164176,0.496385362930596,0.0394824030809104,0.901915351161733,0.766673619393259,0.6657311511226,0.79515124973841,0.463149331742898,0.11124244495295,0.998489093966782,0.975680106552318,0.385822679847479,0.0106528501491994,0.131756100337952,0.0347629867028445,0.411157250404358,0.0222063476685435,0.513645555824041,0.81523762550205,0.855571858584881,0.272918195929378,0.127657498000190,0.748678070725873,0.352182522648945,0.932037607999519,0.508538626134396,0.327364839846268,0.922406034776941,0.126811291323975,0.709233472356573,0.330562419723719,0.503351152176037,0.382403590716422,0.306425540242344,0.709634443745017,0.902445334009826,0.309973533032462,0.219438422471285,0.305255156476051,0.782325598178431,0.674149015918374,0.994253528537229,0.357938315253705,0.811324334703386,0.29448770545423,0.992080079391599,0.833719969494268,0.189592632465065,0.906895648455247,0.111228221328929,0.442731468239799,0.471591266337782,0.853009818820283,0.156994732795283,0.377935827476904,0.462753526167944,0.964525008341298,0.201180614298210,0.192691155476496,0.119234024314210,0.287412931676954,0.470818733563647,0.430597782833502,0.928624348482117,0.18312850757502,0.403344128746539,0.059264920419082,0.377995060989633,0.691565534332767,0.165495017077774,0.141009482555091,0.617406451376155,0.551142832729965,0.691147279925644,0.835023620165884,0.758651464479044
2.2,'yes',0,0.226374586578459,0.424232992809266,0.909659562399611,0.676294312346727,0.752489351434633,0.661940637975931,0.548633702332154,0.288117927266285,0.492932153632864,0.687801071675494,0.585964429425076,0.144514749292284,0.698568576481193,0.502384735038504,0.938836094457656,0.566419458016753,0.543441485380754,0.51524632726796,0.739266059128568,0.0983669275883585,0.939253783784807,0.962848506635055,0.820131318410859,0.869367665378377,0.47867578570731,0.605275120120496,0.374213805189356,0.0377757770475,0.832723005441949,0.0143671992700547,0.466089808847755,0.464293019846082,0.306281827855855,0.935936896596104,0.606360289966688,0.230650661513209,0.0239803288131952,0.765353252645582,0.298896294087172,0.222332551609725,0.176721448777243,0.893266825471073,0.039811160415411,0.226859410060570,0.518155698664486,0.310507924528793,0.657676259754226,0.745389414718375,0.386471930192783,0.585860420716926,0.308961414499208,0.518704550107941,0.15517714782618,0.725281004561111,0.863432874204591,0.603609208017588,0.761746709467843,0.739505823235959,0.0222199310082942,0.505815556040034,0.190281197894365,0.400590563891456,0.810802572173998,0.59724654443562,0.865420727059245,0.290688865585253,0.773878424428403,0.499696025392041,0.539293324807659,0.651754289632663,0.489369311602786,0.138384233461693,0.126994413323700,0.0446597724221647,0.0233705099672079,0.774599792202935,0.305934578878805,0.683963433140889,0.97761415480636,0.286322578322142
1.505,'no ',0,0.75859368336387,0.859535886673257,0.284552209777758,0.766140589490533,0.924360373057425,0.731408823747188,0.85324443760328,0.072722558863461,0.455907874042168,0.762927977368236,0.227525958558545,0.586338292807341,0.638181963237002,0.817901369184256,0.331464207032695,0.200080306734890,0.968659202335402,0.422527969116345,0.533558751922101,0.229910652851686,0.264939770800993,0.853440911741927,0.70769200916402,0.243262522621080,0.966258533997461,0.78942808159627,0.119902960956097,0.208516614744440,0.143503441009670,0.396406907588243,0.293049968546256,0.0453789464663714,0.8324901512824,0.68543567112647,0.752460958668962,0.535610191756859,0.648848244221881,0.470302353613079,0.0942534564528614,0.986884176032618,0.166775892721489,0.34440376679413,0.398306174669415,0.474462509388104,0.542749056359753,0.435517926467583,0.143599279690534,0.434038255363703,0.106104308506474,0.735729929758236,0.0714552472345531,0.287166025023907,0.721518653910607,0.606185373384506,0.973306322237477,0.0134493284858763,0.162010104861110,0.250315078301355,0.158233046764508,0.253036676207557,0.673486076528206,0.376529904780909,0.381306237075478,0.341204440919682,0.293321070028469,0.388465682277456,0.850855086930096,0.0241949530318379,0.896506392862648,0.79789587832056,0.364847303368151,0.875162927433848,0.471287545980886,0.534896400291473,0.620439204853028,0.0295137520879507,0.881741986842826,0.430964406346902,0.457360774278641,0.093966014450416
1.51,'yes',0,0.354336095741019,0.441529099829495,0.667686879634857,0.0254526187200099,0.725713317282498,0.181814752984792,0.925623880699277,0.688681822037324,0.653970003593713,0.253990104421973,0.112091480288655,0.550918463384733,0.369960566051304,0.676252186996862,0.583375134505332,0.257442916510627,0.350695479661226,0.00221115816384554,0.80712005123496,0.293339104158804,0.425808304687962,0.978275743080303,0.474867535755038,0.689513057237491,0.652516936184838,0.292100463062525,0.297904299804941,0.61774851498194,0.640649820212275,0.417684409767389,0.588399953674525,0.235410354100168,0.531626002630219,0.250397402094677,0.110471267020330,0.796440343838185,0.194783862680197,0.68379959044978,0.436801770003513,0.151902106823400,0.307051028124988,0.277411821298301,0.0599051886238158,0.00395418750122190,0.8010654815007,0.158288979902864,0.290699777426198,0.50774195487611,0.201948864618316,0.907582720508799,0.165090386988595,0.325587589992210,0.679132622666657,0.157261269399896,0.0468526910990477,0.905188899720088,0.640205657109618,0.675644334871322,0.979057327611372,0.857961315428838,0.207527486141771,0.838925279676914,0.682191177736968,0.482306156074628,0.825625393772498,0.903992648003623,0.553107560379431,0.307023843051866,0.070091494359076,0.841320635285228,0.288516612024978,0.279916056897491,0.598350766114891,0.254004410700873,0.282697642454877,0.915691093308851,0.674456434324384,0.478984670480713,0.387349400203675,0.221116004046053
2.602,'yes',0,0.992938108276576,0.164677370106801,0.460306725231931,0.0714312836062163,0.347041544970125,0.997164635686204,0.887058551423252,0.65336758387275,0.333307868335396,0.474314706400037,0.285672240657732,0.219575316412374,0.82911256980151,0.295034903334454,0.239881536457688,0.550864557968453,0.315811934880912,0.83063756255433,0.89289585663937,0.418453031219542,0.667506946483627,0.0671556484885514,0.53237900394015,0.500403195386752,0.650463522411883,0.809096624143422,0.474589162273332,0.665758078219369,0.259469472104684,0.615910748718306,0.62854937184602,0.427852363791317,0.0443810971919447,0.458340060897171,0.107070561964065,0.780955799855292,0.418343272991478,0.261692186119035,0.825974844163284,0.329961569514126,0.111323846969754,0.282834533369169,0.263946015387774,0.178314571501687,0.609448087168857,0.0385139980353415,0.0924818499479443,0.86246501118876,0.467663887888193,0.230197861092165,0.116444178391248,0.552717631682754,0.236061075003818,0.26468896237202,0.0236008183564991,0.109687171177939,0.611890584696084,0.135674915043637,0.237552923848853,0.371917800046504,0.97874042764306,0.265832269797102,0.944709597155452,0.800128782866523,0.240151592995971,0.962258514715359,0.635043291375041,0.811591705540195,0.795231182128191,0.666014536749572,0.405712933279574,0.242533962009475,0.68109391327016,0.607774451375008,0.109532484784722,0.588212721981108,0.661127318860963,0.216562007786706,0.451839134097099,0.193698071176186
0.757,'no ',0,0.893913657870144,0.939527047332376,0.670489463256672,0.000293011078611016,0.576014572754502,0.350249548675492,0.740146160125732,0.809549984289333,0.54505416052416,0.211288126651198,0.229378967778757,0.313892160542309,0.0232410801108927,0.100778041873127,0.845809800783172,0.0583020059857517,0.747821805998683,0.48182208254002,0.210626130690798,0.193573428550735,0.949086802545935,0.697436039336026,0.105527276173234,0.584150774637237,0.166116949636489,0.626516357529908,0.0932475137524307,0.990603909594938,0.345744572579861,0.168395856395364,0.581929250620306,0.949219539761543,0.730605171527714,0.739020663313568,0.252717199036852,0.141482320614159,0.921233412344009,0.579581997357309,0.886470559751615,0.96240224246867,0.533842070726678,0.305181642761454,0.561747522559017,0.0842686803080142,0.15698232059367,0.96377241355367,0.640530828619376,0.92653506831266,0.439927983097732,0.657249596668407,0.490845060674474,0.175508618354797,0.518532624933869,0.80849570618011,0.765844473382458,0.415577805135399,0.51635233964771,0.406313006766140,0.980736421654,0.49002458830364,0.601886828895658,0.383744094753638,0.405197409214452,0.478033415041864,0.71339488425292,0.994568909984082,0.0430838090833277,0.234702584333718,0.733734939713031,0.646965498104692,0.588288048515096,0.355868452228606,0.212089434964582,0.57239600433968,0.226666713366285,0.209654855541885,0.482317320536822,0.285832158988342,0.530387401813641,0.0870706555433571
0.125,'yes',0,0.302637922810391,0.234005043748766,0.0449717349838465,0.900854428764433,0.652422567363828,0.284347411477938,0.104157610563561,0.807084697764367,0.137945266673341,0.47682354785502,0.659817659063265,0.33850312512368,0.72764046723023,0.00479987100698054,0.302278539165854,0.560542496852577,0.983939880970865,0.645498681813478,0.0756926231551915,0.0260333193000406,0.60309441271238,0.0906329627614468,0.311858875676990,0.948993783909827,0.553241214947775,0.079540126491338,0.858930200338364,0.729099343298003,0.984057757770643,0.347447318024933,0.534328421344981,0.229390753200278,0.407438307069242,0.853089004289359,0.637449332280084,0.93112507252954,0.850194091675803,0.0289430541452020,0.0955016093794256,0.495222574099898,0.924850852461532,0.905382324941456,0.294228323502466,0.410335606662557,0.366537020541728,0.316343737533316,0.908619896043092,0.930725487181917,0.431100989226252,0.0112253758125007,0.0630039817187935,0.67674788297154,0.525382235646248,0.873062347294763,0.171820522053167,0.487248801859096,0.224365209229290,0.923576119821519,0.482014090521261,0.162619154900312,0.805967995664105,0.364232211140916,0.162625095341355,0.500559320673347,0.773568677948788,0.572744698030874,0.638776364270598,0.256240756716579,0.413590107578784,0.393319294787943,0.726406634785235,0.628278990508988,0.437885380815715,0.0295926490798593,0.864782761316746,0.00619522342458367,0.111253823386505,0.0202706134878099,0.349775997223333,0.178168549668044
0.258,'no ',0,0.650020008441061,0.736655917018652,0.93115201429464,0.890854689059779,0.480999980587512,0.208807387156412,0.789220464183018,0.198588027851656,0.916272121015936,0.661663565086201,0.34290429065004,0.780642630299553,0.372312177671120,0.331274364376441,0.81595790735446,0.345158325042576,0.725500545930117,0.454719776287675,0.158433451317251,0.263775677653030,0.800022711977363,0.530396058689803,0.363373811822385,0.542094206437469,0.898741679498926,0.311713128350675,0.128337553702295,0.265869273338467,0.282801616936922,0.251636333297938,0.982103477232158,0.358368227956817,0.107130917022005,0.318522982299328,0.874056201893836,0.824559674365446,0.689101192401722,0.502571408636868,0.410168682225049,0.425152933225036,0.323670601006597,0.682445613201708,0.265330355614424,0.377669758861884,0.379628580529243,0.969081323826686,0.635390104493126,0.185134037397802,0.761711776955053,0.655453172512352,0.583927287021652,0.74428630922921,0.593843676848337,0.342303634388372,0.930218660272658,0.242164687952027,0.771907225251198,0.206491220276803,0.166889908025041,0.369417203124613,0.299305019434541,0.491293856641278,0.951373813208193,0.475714347790927,0.927934638690203,0.968746297992766,0.372034216532484,0.690357133978978,0.118940572254360,0.316056371899322,0.63121001678519,0.49965225206688,0.786544628906995,0.488717829342932,0.0424841230269521,0.603304802440107,0.857598161324859,0.273990638088435,0.72911956650205,0.906769735272974
3.686,'no ',0,0.397185824345797,0.0673348114360124,0.563208009116352,0.67568317335099,0.238022670848295,0.211744771106169,0.431230229092762,0.661024946719408,0.442940197419375,0.139536849455908,0.340109867509454,0.397523951716721,0.844703666865826,0.335597668075934,0.895211776951328,0.829224575310946,0.589651508256793,0.673242119606584,0.362488551530987,0.090718584600836,0.518436118261889,0.0949382262770087,0.530696312431246,0.0646963438484818,0.224930589087307,0.796993538504466,0.479481353191659,0.137820940930396,0.159659481374547,0.748814051039517,0.670054876478389,0.744555178564042,0.833758596563712,0.814242397202179,0.362544119125232,0.124410923104733,0.410303978482261,0.95582533441484,0.124288753140718,0.725537007907405,0.868050095625222,0.716388897504658,0.517404335783795,0.368251633364707,0.683049334678799,0.0238648641388863,0.480515152448788,0.414237270364538,0.587878615129739,0.917220740113407,0.566407001810148,0.0417590774595737,0.997014748165384,0.0912963033188134,0.348092948785052,0.538228906691074,0.0439939727075398,0.375103956088424,0.824515353189781,0.132854669587687,0.853770589921623,0.74585506436415,0.570125540019944,0.984014351852238,0.163324808701873,0.290363413980231,0.100131270708516,0.620559626957402,0.98879996407777,0.8362969935406,0.924032739829272,0.425232137320563,0.591560859233141,0.577565758489072,0.751340907998383,0.875606533605605,0.551779872272164,0.557669904548675,0.218004106776789,0.0873296754434705
2.43,'yes',0,0.907149758189917,0.0869513000361621,0.76956186350435,0.329124855343252,0.721526029985398,0.181560434866697,0.289555871393532,0.92876035743393,0.976477165706456,0.577022574376315,0.942337949061766,0.189607849577442,0.305868992581964,0.316047765081748,0.244306131498888,0.00737091200426221,0.389824070502073,0.497396817430854,0.745886892545968,0.921090675052255,0.377364170271903,0.578064378816634,0.791320080170408,0.124336867826059,0.385296371066943,0.619092799024656,0.153670864179730,0.550349444383755,0.431196354096755,0.545740741537884,0.877825748641044,0.844084594398737,0.518287827726454,0.358267196221277,0.872011377476156,0.288512307917699,0.129354469012469,0.201717667048797,0.0488211042247713,0.301924142986536,0.506211817031726,0.214160202769563,0.0152670573443174,0.381452441215515,0.411763306939974,0.777620454318821,0.77476879931055,0.719253092771396,0.9336783667095,0.0506602588575333,0.323304004734382,0.993427932728082,0.0843118804041296,0.646875627106056,0.735529110301286,0.831444537034258,0.894556622952223,0.75151302316226,0.179121993714944,0.224406370427459,0.960392096778378,0.876291810069233,0.345905222697183,0.159528295975178,0.751728505827487,0.930160824907944,0.796043938258663,0.964069651439786,0.824552625184879,0.073794440831989,0.0746848352719098,0.783181541366503,0.367226620670408,0.611690575489774,0.959276918554679,0.552110243588686,0.376337798312306,0.176467989804223,0.862282553454861,0.484511010115966
