@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780  ','106709  ','111063  ','111529 ','111622 ','113120  ','114753 ','117504  ','130088 ','131560 ','147478  ','148225 ','148646 ','148833  ','150314  ','151207 ','151905 ','152113  ','153514  ','154112 ','156467 ','163136 ','163170  ','163438 ','174738  ','176453  ','177408  ','177533  ','178750 ','179968  ','180455 ','180977  ','191157 ','192059 ','205851 ','207399 ','208169 ','209352  ','209755 ','211117 ','211957 ','213486 ','213630 ','213823 ','214805 ','217704 ','217805 ','219101 ','221755 ','228006 ','228316  ','228581 ','229185 ','231231  ','231362  ','232339  ','232683 ','238108  ','238174  ','239899 ','240766 ','252593  ','255445 ','259714  ','263361  ','271019 ','275087 ','276205 ','278693 ','278854 ','279592 ','280706 ','282003 ','282066  ','284856 ','285654 ','286809  ','287364 ','292934  ','293707  ','293795  ','294835  ','295670 ','296805  ','297114 ','299787 ','301981  ','302888 ','305288 ','306757 ','306778 ','308041 ','309010 ','309096 ','309111 ','310613 ','312047 ','313087 ','313116 ','313299 ','313417 ','316204 ','316534 ','317508 ','319016 ','319036  ','319584 ','323898 ','324561  ','324895 ','326115 ','330856 ','331093 ','332851  ','332931 ','334877  ','335105 ','336489 ','337914 ','338895 ','342121  ','346386 ','349510 ','350184  ','350311 ','352190  ','352648  ','353540 ','355083 ','357512 ','358422 ','359530 ','359711 ','359951 ','370791  ','370846 ','373172 ','373458 ','373674  ','374210 ','375246 ','377179 ','378559 ','412982 ','414592  ','416103 ','416135  ','419797 ','420398  ','421814  ','425151 '}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
0.297,'no','152113  ',0,0.726135607575998,0.663185160141438,0.756597658852115,0.0487969168461859,0.878165342379361,0.352301223669201,0.162655504420400,0.55238846084103
2.2,'yes','319016 ',0,0.911791657097638,0.256327677285299,0.456220038235188,0.424735658802092,0.373690094333142,0.752407401800156,0.629108086461201,0.0309767841827124
1.505,'no','319036  ',0,0.624518989119679,0.985639820573851,0.127260238863528,0.186254892963916,0.0593473729677498,0.370556221576408,0.601846674922854,0.704087297432125
1.51,'yes','308041 ',0,0.321952587924898,0.567215137183666,0.477607119362801,0.828242098214105,0.205235068919137,0.767084946623072,0.832518387585878,0.887512636836618
2.602,'yes','317508 ',0,0.464035005075857,0.0514691441785544,0.861410561250523,0.357848500832915,0.223616394912824,0.91378766996786,0.718543884111568,0.641459771199152
0.757,'no','238108  ',0,0.0496691847220063,0.220054082805291,0.0447611392010003,0.0750376677606255,0.693206989904866,0.961058650165796,0.523146382300183,0.821656338637695
0.125,'yes','214805 ',0,0.537372881546617,0.43145826482214,0.130572665482759,0.752853445475921,0.286689302884042,0.599749629851431,0.090704433619976,0.126152354292572
0.258,'no','147478  ',0,0.114255789900199,0.587593252537772,0.655076993396506,0.872596851317212,0.127995655406266,0.067551372339949,0.897664425428957,0.165822273818776
3.686,'no','228316  ',0,0.105393873061985,0.662448242073879,0.571898295078427,0.627691537840292,0.840977708576247,0.08098238799721,0.667026737239212,0.179939788300544
2.43,'yes','228581 ',0,0.91323723597452,0.371704254997894,0.538165117846802,0.572803628398106,0.298345793969929,0.844845836982131,0.885403876192868,0.272406204603612
1.331,'no','296805  ',0,0.508216023910791,0.624471469316632,0.411400460870937,0.862346086883917,0.500912849325687,0.0122341890819371,0.482322544325143,0.688795533031225
1.18,'yes','416103 ',0,0.628133139107376,0.554159594932571,0.0815570945851505,0.362144460435957,0.29803164396435,0.386872256640345,0.686161658260971,0.266838673036546
0.059,'no','416135  ',0,0.699384115403518,0.482065343530849,0.98996345908381,0.057391588576138,0.306665251962841,0.454893965739757,0.196928712073714,0.70302126603201
1.16,'yes','279592 ',0,0.779662377899513,0.495942182838917,0.605844666948542,0.597231957130134,0.919460726436228,0.937387995654717,0.841908251866698,0.206522368360311
1.547,'yes','338895 ',0,0.582612902391702,0.143598931143060,0.84134526597336,0.87701763981022,0.706068526720628,0.889019682072103,0.44402122288011,0.967869386309758
1.692,'yes','326115 ',0,0.0532279082108289,0.939365067752078,0.792297413107008,0.471423550741747,0.0187194477766752,0.552608394762501,0.0987257936503738,0.446923656389117
3.85,'no','352648  ',0,0.470410996116698,0.703540686285123,0.247252144152299,0.735628783004358,0.430064542684704,0.964507700875401,0.877143120393157,0.903783822664991
4.109,'no','352190  ',0,0.873220233013853,0.215862542157993,0.600134048145264,0.869823114247993,0.858217897359282,0.452078552916646,0.74402339803055,0.309900055406615
2.296,'yes','178750 ',0,0.276628232793882,0.625235757557675,0.399463749257848,0.556448945775628,0.818358984775841,0.951773071661592,0.72013317537494,0.8809664407745
0.6535,'yes','114753 ',0,0.0797893477138132,0.643508490175009,0.779105139663443,0.410739762010053,0.836210689274594,0.757784877205268,0.393165012123063,0.582169076427817
2.711,'yes','219101 ',0,0.979403180535883,0.283733305521309,0.395449942909181,0.918330420274287,0.414604133460671,0.624315889785066,0.326170153915882,0.295542356092483
2.452,'yes','359711 ',0,0.604374702554196,0.404490905348212,0.95412926794961,0.899039347656071,0.251386004965752,0.159759068861604,0.554650731617585,0.17982993228361
4.6497,'no','342121  ',0,0.786067719338462,0.229253123514354,0.878857261035591,0.425171315437183,0.328202234115452,0.945324794389307,0.539087229873985,0.0583045287057757
2.77,'yes','337914 ',0,0.699552394449711,0.338661929359660,0.733591408003122,0.78100052755326,0.53523932909593,0.533832030370831,0.770986261311918,0.584507125429809
4.772,'no','421814  ',0,0.477552290074527,0.639387503033504,0.320721961325034,0.0292605562135577,0.533630895428360,0.0168769578449428,0.299994597909972,0.512121456442401
