@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780  ','106709  ','111063  ','111529 ','111622 ','113120  ','114753 ','117504  ','130088 ','131560 ','147478  ','148225 ','148646 ','148833  ','150314  ','151207 ','151905 ','152113  ','153514  ','154112 ','156467 ','163136 ','163170  ','163438 ','174738  ','176453  ','177408  ','177533  ','178750 ','179968  ','180455 ','180977  ','191157 ','192059 ','205851 ','207399 ','208169 ','209352  ','209755 ','211117 ','211957 ','213486 ','213630 ','213823 ','214805 ','217704 ','217805 ','219101 ','221755 ','228006 ','228316  ','228581 ','229185 ','231231  ','231362  ','232339  ','232683 ','238108  ','238174  ','239899 ','240766 ','252593  ','255445 ','259714  ','263361  ','271019 ','275087 ','276205 ','278693 ','278854 ','279592 ','280706 ','282003 ','282066  ','284856 ','285654 ','286809  ','287364 ','292934  ','293707  ','293795  ','294835  ','295670 ','296805  ','297114 ','299787 ','301981  ','302888 ','305288 ','306757 ','306778 ','308041 ','309010 ','309096 ','309111 ','310613 ','312047 ','313087 ','313116 ','313299 ','313417 ','316204 ','316534 ','317508 ','319016 ','319036  ','319584 ','323898 ','324561  ','324895 ','326115 ','330856 ','331093 ','332851  ','332931 ','334877  ','335105 ','336489 ','337914 ','338895 ','342121  ','346386 ','349510 ','350184  ','350311 ','352190  ','352648  ','353540 ','355083 ','357512 ','358422 ','359530 ','359711 ','359951 ','370791  ','370846 ','373172 ','373458 ','373674  ','374210 ','375246 ','377179 ','378559 ','412982 ','414592  ','416103 ','416135  ','419797 ','420398  ','421814  ','425151 '}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@attribute useless33 numeric
@attribute useless34 numeric
@attribute useless35 numeric
@attribute useless36 numeric
@attribute useless37 numeric
@attribute useless38 numeric
@attribute useless39 numeric
@attribute useless40 numeric
@attribute useless41 numeric
@attribute useless42 numeric
@attribute useless43 numeric
@attribute useless44 numeric
@attribute useless45 numeric
@attribute useless46 numeric
@attribute useless47 numeric
@attribute useless48 numeric
@attribute useless49 numeric
@attribute useless50 numeric
@attribute useless51 numeric
@attribute useless52 numeric
@attribute useless53 numeric
@attribute useless54 numeric
@attribute useless55 numeric
@attribute useless56 numeric
@attribute useless57 numeric
@attribute useless58 numeric
@attribute useless59 numeric
@attribute useless60 numeric
@attribute useless61 numeric
@attribute useless62 numeric
@attribute useless63 numeric
@attribute useless64 numeric
@data
0.297,'no','152113  ',0,0.313063169596717,0.449394620023668,0.213950453093275,0.318461185786873,0.791378670139238,0.266863051569089,0.666093774139881,0.170869526220486,0.981411829823628,0.224892578553408,0.45549454074353,0.312512635486200,0.00727293151430786,0.784157738322392,0.150688660098240,0.756777686066926,0.209554075729102,0.138761665672064,0.586979187559336,0.901901927078143,0.424251585034654,0.755591991124675,0.182295832317322,0.0530284964479506,0.801652077585459,0.115672668674961,0.509455647552386,0.825941286282614,0.939485476817936,0.629127340391278,0.707840161630884,0.264484915183857,0.302500060293823,0.416095935041085,0.749489272246137,0.631377179641277,0.640414145542309,0.492445841897279,0.306203596293926,0.0223446839954704,0.516816615359858,0.834877408808097,0.393491899129003,0.953285400057212,0.331767611438408,0.9184540794231,0.542268801946193,0.59176585986279,0.249971514334902,0.250361580867320,0.180478391703218,0.110094807809219,0.452339704846963,0.624347415752709,0.505590633256361,0.93251767149195,0.508552679559216,0.454886041814461,0.99348648940213,0.703700860030949,0.723482942441478,0.481357702519745,0.385230446001515,0.402042427100241
2.2,'yes','319016 ',0,0.740665883524343,0.146250468678772,0.0576034204568714,0.554854720132425,0.260268320096657,0.263053574599326,0.401841758051887,0.598638723837212,0.193199027562514,0.188924184534699,0.743494287831709,0.707182052312419,0.976981315296143,0.722459746757522,0.23377353628166,0.0647868909873068,0.576489706989378,0.501833841903135,0.704533128999174,0.81875159475021,0.77680255821906,0.830873192986473,0.995758931385353,0.245151511160657,0.746528167510405,0.600207319948822,0.712322294479236,0.0789313076529652,0.78946475032717,0.0380547530949116,0.985566297313198,0.628053022315726,0.796995815588161,0.337642071768641,0.256143002538010,0.64455588767305,0.341290049720556,0.319604436168447,0.820330023532733,0.182239472866058,0.318831983255222,0.843687529442832,0.694159015547484,0.314450978999957,0.0339546762406826,0.498775498941541,0.97154894983396,0.937387415207922,0.674396940274164,0.441784542286769,0.247274241643026,0.567334850784391,0.790039891377091,0.676484745228663,0.251293508801609,0.587712084874511,0.629707094049081,0.97885407623835,0.381126139312983,0.631800423376262,0.583670185878873,0.148410574998707,0.4772059826646,0.477525904309005
1.505,'no','319036  ',0,0.327650264371186,0.458061350043863,0.291565730236471,0.604704386554658,0.881061570253223,0.598487458890304,0.864007668104023,0.192292872583494,0.893397223204374,0.508472923189402,0.613783325767145,0.251107070827857,0.344838979421183,0.037171859992668,0.0214717953931540,0.92125521786511,0.229674361413345,0.484008901985362,0.566100978525355,0.683853446971625,0.694488282315433,0.105182040715590,0.425482044229284,0.76343295397237,0.903889183187857,0.554455375764519,0.437572895782068,0.240690180566162,0.211480629630387,0.463460263330489,0.134951532585546,0.0263823445420712,0.82117370213382,0.570732278982177,0.586135273100808,0.858636494493112,0.297571281902492,0.176661606179550,0.117919012904167,0.0140494133811444,0.853253424400464,0.360052123665810,0.379859542939812,0.275747243314981,0.438721226062626,0.31116451183334,0.244377221912146,0.801892813527957,0.988694640342146,0.988691673614085,0.782784574199468,0.0210910362657160,0.0473345678765327,0.343005962437019,0.682236952940002,0.0559792756102979,0.425357390195131,0.135404507629573,0.669349192874506,0.405864925822243,0.289002681616694,0.903631192399189,0.264005223987624,0.566485402407125
1.51,'yes','308041 ',0,0.0605836841277778,0.533598677488044,0.865033438894898,0.954422454582527,0.700333475600928,0.383774487767369,0.299800100503489,0.198170470539480,0.965738880215213,0.70091055193916,0.192378968466073,0.65340661490336,0.376336853019893,0.479333392111585,0.753692584810778,0.823030022904277,0.147064791759476,0.0570735260844231,0.405107843689620,0.648568563628942,0.804899913957343,0.823916234774515,0.461590976454318,0.213507559616119,0.515229974873364,0.0974187452811748,0.337745632277802,0.153540316969156,0.374126151669770,0.788462865399197,0.354369732551277,0.469155621482059,0.971958520589396,0.468271180056036,0.670586635591462,0.767406494589522,0.778453978942707,0.39373369468376,0.999871130799875,0.218406341038644,0.743410214083269,0.392291124444455,0.79173820419237,0.202464608009905,0.288589412113652,0.476423944812268,0.410636711865664,0.195421562530100,0.707405891036615,0.0100000782404095,0.509961402975023,0.253304912243038,0.28754787100479,0.912701623281464,0.489183519035578,0.0754269065801054,0.656789966160432,0.489913484314457,0.279227694263682,0.396852614358068,0.846845346270129,0.644324221415445,0.409143512835726,0.776129672769457
2.602,'yes','317508 ',0,0.421701942803338,0.128266318934038,0.0515732986386865,0.0393074373714626,0.672422252129763,0.283158804057166,0.947056032717228,0.862620299914852,0.914438335923478,0.486987240379676,0.252162256278098,0.728932910365984,0.0615088967606425,0.000559721374884248,0.371568457689136,0.567325273295864,0.844617940252647,0.968168064020574,0.889307010220364,0.0820190066006035,0.479600485181436,0.73477147333324,0.862356365192682,0.796712934039533,0.646834014216438,0.741685572313145,0.96630332712084,0.965733422432095,0.248680189950392,0.465071724262089,0.499781705904752,0.672823992557824,0.749303263379261,0.850392276188359,0.810800465987995,0.0379729049745947,0.689339171163738,0.895799837308004,0.479300879640505,0.413165250327438,0.724742342252284,0.0056287667248398,0.327093984233215,0.542030750075355,0.60639579501003,0.935896403621882,0.279939354164526,0.998551847878844,0.196966903517023,0.861776389414445,0.606162352953106,0.642978911753744,0.728332486003637,0.0207240232266486,0.682788478443399,0.470732798334211,0.0733382203616202,0.556415393715724,0.338429867988452,0.690742418169975,0.464953791117296,0.0206696912646294,0.36059904540889,0.371069557964802
0.757,'no','238108  ',0,0.284094501752406,0.729951423360035,0.443798603024334,0.846864098217338,0.196729548973963,0.0609711844008416,0.415839789435267,0.0593563348520547,0.465555896516889,0.264724920969456,0.399838144192472,0.533226013416424,0.72833588719368,0.980727937538177,0.281379327876493,0.496587785426527,0.662389834178612,0.95048797945492,0.752000560518354,0.131189236417413,0.933477487182245,0.826057850616053,0.416686152806506,0.489246756769717,0.910683138528839,0.545276168035343,0.226003568386659,0.565849710954353,0.498582223197445,0.794063326669857,0.58555400185287,0.988130141049623,0.548475546762347,0.881922031985596,0.812207645736635,0.615743634989485,0.73005087650381,0.524651020066813,0.450475669000298,0.0618802385870367,0.101807895815,0.108245731331408,0.80669166566804,0.731156717287377,0.405013231094927,0.583687489852309,0.0856118726078421,0.210896731354296,0.699674519477412,0.791363585507497,0.447748286416754,0.967294269474223,0.340590133098885,0.427007192280143,0.840368125354871,0.653719515539706,0.544284615898505,0.374234730144963,0.276883633807302,0.0763975479640067,0.899382634088397,0.503635549684986,0.911019956925884,0.9948721495457
0.125,'yes','214805 ',0,0.943719247356057,0.516196715179831,0.626476832432672,0.797263876534998,0.9799620131962,0.220368124777451,0.0389197096228600,0.625330321723595,0.615147998090833,0.689726054435596,0.489292955258861,0.154428752837703,0.0220813241321594,0.323788283858448,0.641398198902607,0.788190039806068,0.203994404990226,0.0185799405444413,0.115861390950158,0.937240917701274,0.130351585336030,0.63105897908099,0.231269538402557,0.801860191393644,0.80399448913522,0.540511859348044,0.585500111803412,0.364325994858518,0.624743342166767,0.33625507960096,0.242836930090562,0.372249197680503,0.0514474061783403,0.343250326113775,0.998149152379483,0.317270168103278,0.533775847870857,0.527931557269767,0.0655170425307006,0.879137807991356,0.857636692700908,0.89720068499446,0.068669069558382,0.508294095285237,0.308697847882286,0.273623818531632,0.526118851266801,0.828685241984203,0.292103043757379,0.982091258978471,0.859909561928362,0.0168119061272591,0.858504512580112,0.131642123218626,0.789265234954655,0.598721500951797,0.113954193890095,0.502576146274805,0.997064386727288,0.569437772966921,0.918679950758815,0.693976257694885,0.710782574955374,0.143153771525249
0.258,'no','147478  ',0,0.438536882167682,0.0277706237975508,0.87714708270505,0.0537973877508193,0.975993232568726,0.407031876035035,0.649742241250351,0.913349723210558,0.721680516377091,0.380046716192737,0.275998605415225,0.567172263050452,0.124696734361351,0.767036300385371,0.236169225536287,0.813043450703844,0.0193954627029598,0.252792787272483,0.788210154045373,0.584311645710841,0.533549513434991,0.185797190060839,0.8392031355761,0.718585968948901,0.426966839469969,0.635611330159009,0.109613736392930,0.653638149378821,0.541685939067975,0.456759351072833,0.332040478475392,0.912517993245274,0.967764911940321,0.490327470237389,0.216042918153107,0.692844241159037,0.390046543208882,0.8343107951805,0.507260703248903,0.0300605378579348,0.913664364488795,0.0551536099519581,0.924728457815945,0.685039456700906,0.0183326133992523,0.319949013646692,0.264242342207581,0.400006109382957,0.445379657670856,0.86816850467585,0.390937361400574,0.685974773485214,0.468466793652624,0.755177409620956,0.612694163573906,0.185020824661478,0.177337865810841,0.367172922473401,0.871049955487251,0.31823798106052,0.187007317552343,0.724548544967547,0.538785144221038,0.766241679899395
3.686,'no','228316  ',0,0.0172923416830599,0.528057324932888,0.8312959051691,0.271170293679461,0.278206037124619,0.393215045100078,0.338673197897151,0.473962131887674,0.574287836207077,0.964027140522376,0.108080405974761,0.329790530260652,0.973782072076574,0.58439257228747,0.897763134678826,0.675864450633526,0.64699428062886,0.243661296088248,0.631866438081488,0.716200201539323,0.790020535467193,0.783614861778915,0.323638788424432,0.74090175027959,0.840326793724671,0.00825696345418692,0.874131141463295,0.47384624555707,0.964479031274095,0.202367454534397,0.432834846898913,0.664205471985042,0.50357412500307,0.326592411845922,0.85638275113888,0.102767239790410,0.920612510526553,0.461046699201688,0.548416244331747,0.97229689732194,0.577909206738696,0.580566909862682,0.951307721901685,0.081448101438582,0.926899072248489,0.692493510432541,0.456558452686295,0.902276434004307,0.168814519420266,0.301476744236425,0.0263683395460248,0.127681785263121,0.167097212746739,0.0833824106957763,0.0677208192646503,0.651473287027329,0.104648614069447,0.212643513688818,0.696770371403545,0.211542371660471,0.441714741755277,0.561746645020321,0.898552151862532,0.0369646281469613
2.43,'yes','228581 ',0,0.280489240540192,0.209988709306344,0.110445482423529,0.92046222393401,0.994275074219331,0.846019157441333,0.380852493690327,0.904301541857421,0.578866918571293,0.00100541277788579,0.108837111387402,0.0188676235266030,0.606172130675986,0.0764631158672273,0.219233241863549,0.930040765786543,0.493037987500429,0.653953917324543,0.955948631512001,0.488667079480365,0.231340060941875,0.467383158393204,0.225881473394111,0.525996069191024,0.817078680964187,0.700440290616825,0.57055691559799,0.79487162642181,0.854486489202827,0.581624582177028,0.153002620441839,0.944616984575987,0.219410847639665,0.029448434477672,0.881674675969407,0.322956025833264,0.202754739904776,0.527292558224872,0.59488079068251,0.933280269615352,0.386083602905273,0.643926607444882,0.455430963542312,0.320259971078485,0.228837315225974,0.711281322408468,0.558247287757695,0.57164383167401,0.97204750077799,0.472667989786714,0.90123030426912,0.425022937124595,0.524393352447078,0.293144483817741,0.55973235424608,0.785752629628405,0.869435922242701,0.171197457471862,0.127084084553644,0.609345063334331,0.172578773228452,0.312487746588886,0.43806894402951,0.90840384666808
