@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@data
0.297,-1.2156,?,108.924,1.0308e-06,?,1.9336,12.5,?,34.44,8.16,533,8.192,0.101888,'yes','no','152113',0.276665448676795,0.177065631374717,0.102917119394988,0.210461526410654,0.438410791568458,0.312313616741449,0.197660136036575,0.168527730740607,0.139347324613482,0.550778101198375,0.21448621340096,0.034639272140339,0.755066676298156,0.676177605986595,0.378689598757774,0.54625910660252,0.205249889986590,0.602838034275919,0.609733756398782,0.0377646847628057,0.0640942193567753,0.0191631631460041,0.545302917947993,0.261715138098225,0.553568609291688,0.668757278006524,0.222383774584159,0.559190848376602,0.0282656596973538,0.99797857645899,0.258966625435278,0.167846628231928
2.2,-1.0332,?,164.629,9.0185e-06,3.753e-05,1.7746,31.1,?,61.74,7.49,143,1.024,0.0817582,'yes','yes','319016',0.968150052707642,0.91216112836264,0.328379236161709,0.69183028745465,0.192884381162003,0.285028445767239,0.0860743378289044,0.489325769245625,0.688909886172041,0.127466680947691,0.308577741030604,0.159279416082427,0.688919004052877,0.244954681722447,0.470439811702818,0.375717690913007,0.699233605293557,0.939101199852303,0.764528332743794,0.805626020301133,0.655568538466468,0.627094753785059,0.95606829924509,0.595682671992108,0.00336574646644294,0.424728251993656,0.523007529322058,0.748983968049288,0.545248504262418,0.781506222207099,0.214872005162761,0.86648534052074
1.505,-1.5398,?,151.04,4.47e-06,?,2.2564,49.7,?,111.84,8.81,224,1.024,0.158883,'yes','no','319036',0.25818958459422,0.517007860122249,0.271307823015377,0.643497829325497,0.492566798115149,0.38135109981522,0.322658484335989,0.0835887431167066,0.647603247780353,0.667479955591261,0.275289183715358,0.693476306274533,0.623118051560596,0.568160696653649,0.205606674076989,0.868591244332492,0.482096090679988,0.37541304435581,0.774398393929005,0.861459196545184,0.274545401334763,0.977452922612429,0.117188958683982,0.448875327361748,0.763109852792695,0.128196695586666,0.722517415415496,0.130706937750801,0.118221643613651,0.294409677153453,0.606689396547154,0.114787071244791
1.51,?,-2.3806,27.8861,4.4103e-07,?,2.2345,13.4,?,66.1,7.58,187,1.024,0.0862009,'yes','yes','308041',0.701749170897529,0.923420518403873,0.702820472419262,0.916495206998661,0.704441151116043,0.443764889845625,0.637209058040753,0.156505077611655,0.96922419569455,0.748540181899443,0.846901718294248,0.831230264622718,0.928749331505969,0.0158415487967432,0.95588768995367,0.459710132796317,0.410018618917093,0.137744327541441,0.395024490309879,0.449521999573335,0.988067095400766,0.821181815583259,0.64371176622808,0.0284073031507432,0.459099266212434,0.508383975364268,0.417197030503303,0.658081200439483,0.136528268689290,0.396996335126460,0.570299399551004,0.785198159981519
2.602,-0.9507,?,283.284,3.4109e-05,0.0001218,1.9623,37.2,?,29.92,10.24,271,1.024,0.0366282,'yes','yes','317508',0.842895894311368,0.184830996440724,0.942841953597963,0.499938233289868,0.473892732290551,0.731779447523877,0.950113417347893,0.17530322750099,0.586438763188198,0.686030976008624,0.314830219373107,0.729946477105841,0.79443905199878,0.991012670565397,0.492086060810834,0.608743102289736,0.843556275591254,0.81600814126432,0.500404216581956,0.502456109272316,0.555124154081568,0.369437526445836,0.521419743774459,0.0615073058288544,0.640365888131782,0.735913635464385,0.648030360694975,0.815348384901881,0.181661705486476,0.948665576986969,0.756535785039887,0.109841687371954
0.757,-1.5558,?,76.6923,2.0145e-06,?,1.8061,24.1,-0.047,47.04,7.33,286,2.048,0.194119,'yes','no','238108',0.818689581472427,0.455343835987151,0.660310435807332,0.94412847980857,0.135836233617738,0.785710844676942,0.517952424939722,0.308708833064884,0.379529220052063,0.117002979852259,0.285312259802595,0.332166298991069,0.841007096460089,0.810366181889549,0.263744645286351,0.970841445494443,0.982509167864919,0.210555583937094,0.266144285909832,0.665157482493669,0.731076943455264,0.0829359614290297,0.671801078366116,0.0811453773640096,0.471310624852777,0.393852334236726,0.857602968579158,0.908631466329098,0.098346245707944,0.268499949015677,0.485450902953744,0.477630737470463
0.125,-1.9025,?,208.241,2.8219e-05,2.43e-05,1.8893,191.9,?,108.8,18.45,563,1.024,0.063965,'yes','yes','214805',0.322194847976789,0.934861453715712,0.153284810017794,0.435752405086532,0.488475650548935,0.168251570081338,0.682755111949518,0.465188656467944,0.368325628340244,0.0988745263312012,0.0201820197980851,0.710940843215212,0.183424005052075,0.928883479908109,0.949596574530005,0.195809316122904,0.864489489700645,0.928155776811764,0.0519470327999443,0.254372301744297,0.0429476622957736,0.348621422192082,0.00555691192857921,0.747395593672991,0.363773121731356,0.842137985629961,0.351487039355561,0.332793592242524,0.0692746788263321,0.595329706324264,0.301126591628417,0.532269586343318
0.258,-1.6403,?,85.0863,5.4525e-07,?,1.5283,20.8,?,2.5,10.77,108,0.064,0.046395,'yes','no','147478',0.426735369721428,0.55216673342511,0.278718278277665,0.582511560060084,0.308241959428415,0.161022674292326,0.374172213720158,0.993347879732028,0.313270282233134,0.0948761496692896,0.237391028786078,0.521107501117513,0.711648021591827,0.490284762345254,0.576605691341683,0.366486632497981,0.837421217700467,0.709841530304402,0.0109556068200618,0.767930776812136,0.570005827350542,0.574903239030391,0.156727943802252,0.114269306650385,0.167804818367586,0.55475354893133,0.325516440905631,0.376661466667429,0.782492122612894,0.317320371977985,0.165642241481692,0.390204465482384
3.686,-1.9659,?,?,3.5575e-06,2.693e-05,1.7182,30.5,?,72.96,7.96,1462,64,0.101779,'no','no','228316',0.78675749246031,0.771761669544503,0.193426798097789,0.722112415358424,0.689765604678541,0.693783272756264,0.571039063623175,0.108596805017442,0.995291623985395,0.966416413197294,0.64214414334856,0.590751468203962,0.361075960099697,0.88992067775689,0.381761479191482,0.117026212625206,0.540960404090583,0.68636129423976,0.0999128634575754,0.194204363506287,0.482979811728001,0.0598156927153468,0.634477846557274,0.272168582072482,0.319861605763435,0.427082101348788,0.162242177641019,0.208734358428046,0.0396006810478866,0.526025402592495,0.233245943672955,0.125084843253717
2.43,-0.7727,?,?,4.1281e-06,?,1.8777,47.4,?,18.48,8.73,240,1.024,0.120785,'yes','yes','228581',0.554203940555453,0.662074192427099,0.938392366515473,0.66539647593163,0.844414858147502,0.0493039048742503,0.423972662072629,0.613665358396247,0.927946201292798,0.972296364838257,0.519613730255514,0.602881609462202,0.15213317098096,0.893306648125872,0.552053680177778,0.519904680084437,0.147057395195588,0.484896314097568,0.440493574831635,0.577463217778131,0.668836497934535,0.6008935875725,0.881333873607218,0.126362400595099,0.422371753724292,0.454838435165584,0.756512617925182,0.322377084987238,0.767099481076002,0.543006012914702,0.479548330185935,0.239852852188051
1.331,-1.163,?,?,3.4001e-06,?,1.911,76.4,?,6.48,25.57,2183,1.024,0.0534918,'yes','no','296805',0.76007357146591,0.934713610447943,0.0340369408950210,0.136342238401994,0.723853313131258,0.783360667293891,0.179150157840922,0.156917893327773,0.863187243696302,0.166634686756879,0.965292387176305,0.567228199681267,0.851584582123905,0.643094380386174,0.105217553209513,0.0209396095015109,0.802139452192932,0.753614601213485,0.542599287582561,0.284446479054168,0.230132383992895,0.201288465643302,0.394464631797746,0.189982565818354,0.0188219246920198,0.860008670017123,0.93198945838958,0.561053838580847,0.828575991326943,0.0895071378909051,0.951333771226928,0.146781113464385
1.18,?,-2.287,36.1062,2.5124e-07,?,2.2253,18,-0.055,4.3,9.1,189,0.512,0.0586255,'yes','yes','416103',0.417740507051349,0.707250672392547,0.606728138867766,0.704748827731237,0.136597324395552,0.262870330363512,0.413703796919435,0.806662591407076,0.498534199548885,0.48153254785575,0.888027377426624,0.590012496802956,0.751682983478531,0.476584883173928,0.691959894495085,0.41992555744946,0.327477604616433,0.842407344840467,0.164087168872356,0.730473869480193,0.252692391630262,0.502009008079767,0.786118624731898,0.436213112436235,0.5935667315498,0.769329080125317,0.359847320942208,0.854931126348674,0.586192439310253,0.361806456698105,0.600248701870441,0.118256805930287
0.059,?,-2.3481,32.4207,2.2302e-06,?,?,7.6,?,422,7.83,1835,64,0.181122,'no','no','416135',0.488460990833119,0.949658133322373,0.321415232727304,0.786801466019824,0.86220728396438,0.507154610939324,0.244991347193718,0.962551522767171,0.370887093711644,0.285434347577393,0.132331925444305,0.620031592203304,0.108915489865467,0.612458165967837,0.311745499959216,0.152355429949239,0.284198728622869,0.268192390678450,0.338236295152456,0.657655350863934,0.594677172834054,0.022911285283044,0.584215440787375,0.560153436614200,0.481020417297259,0.564577854936942,0.184875924373046,0.250053006457165,0.238151562400162,0.729823721805587,0.656473681563511,0.388220721390098
1.16,?,-2.1268,41.9671,2.0585e-07,?,?,10.1,?,5.34,?,?,?,0.099199,?,'yes','279592',0.665178365074098,0.298782773781568,0.86203163000755,0.793681474635378,0.452122416347265,0.134134684689343,0.49516270426102,0.218125749845058,0.54350177757442,0.237497580004856,0.613700910937041,0.680395325180143,0.547421900788322,0.872025289107114,0.144794713705778,0.216194772161543,0.448902097297832,0.285414476878941,0.459259366383776,0.772627756930888,0.90903041837737,0.867211036616936,0.820151262683794,0.719709645956755,0.126328422920778,0.739103347295895,0.163625239860266,0.429423527792096,0.711195203708485,0.383935467107221,0.698938521090895,0.964350859168917
