@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@attribute useless33 numeric
@attribute useless34 numeric
@attribute useless35 numeric
@attribute useless36 numeric
@attribute useless37 numeric
@attribute useless38 numeric
@attribute useless39 numeric
@attribute useless40 numeric
@attribute useless41 numeric
@attribute useless42 numeric
@attribute useless43 numeric
@attribute useless44 numeric
@attribute useless45 numeric
@attribute useless46 numeric
@attribute useless47 numeric
@attribute useless48 numeric
@attribute useless49 numeric
@attribute useless50 numeric
@data
0.297,'no ',0,0.135592729318887,0.197831495897844,0.391790543915704,0.950902055716142,0.0673296130262315,0.650893854210153,0.302718611666933,0.0405636217910796,0.389209385728464,0.62459245370701,0.527905568946153,0.988805784843862,0.955968249822035,0.774750299286097,0.0670203268527985,0.00191390700638294,0.399565946543589,0.916693140286952,0.721145051764324,0.572992186527699,0.0436281189322472,0.133331362623721,0.0856132784392685,0.29147366899997,0.698486899025738,0.444664465961978,0.738225870765746,0.130607816856354,0.325074621010572,0.320282222004607,0.549210747238249,0.646661698119715,0.91318297968246,0.96750377980061,0.195312460884452,0.459570215083659,0.173671793658286,0.213173204567283,0.732119182590395,0.501226722029969,0.0357411841396242,0.551544149406254,0.546672262484208,0.0634160174522549,0.704864444211125,0.814453994855285,0.994197324849665,0.348817650927231,0.292634583311155,0.648096504155546
2.2,'yes',0,0.908999236766249,0.416081103729084,0.867012027418241,0.863838107790798,0.760885252384469,0.75218092603609,0.409729500301182,0.52967316377908,0.992363024968654,0.449003681074828,0.558039084542543,0.708605142310262,0.412030613515526,0.473775814753026,0.518134840996936,0.23826666129753,0.127241667825729,0.421776449773461,0.332765437895432,0.0529299126937985,0.118909138720483,0.248885632492602,0.810495759127662,0.415732495719567,0.683106857584789,0.890992891974747,0.483684056438506,0.598778357030824,0.82302037673071,0.75884310551919,0.451788522303104,0.75196612905711,0.0343154245056212,0.103892110986635,0.0814826807472855,0.190771888243034,0.242149646161124,0.720238272566348,0.348445509793237,0.709061644040048,0.74159323843196,0.57440121890977,0.618667143629864,0.686105528380722,0.919075421523303,0.611512298695743,0.166842865990475,0.549827876733616,0.638825469883159,0.221256911754608
1.505,'no ',0,0.89763904362917,0.418152537662536,0.567728468915448,0.838175669079646,0.994838329032063,0.477122897515073,0.101331395562738,0.494256686419249,0.888259553117678,0.583414033753797,0.355072473408654,0.317655086284503,0.523072017589584,0.508683370426297,0.346675241598859,0.584959710482508,0.0128764712717384,0.474357826635242,0.704572620568797,0.0930176067631692,0.608934100018814,0.566950023639947,0.417684389511123,0.489819848909974,0.304183603031561,0.434487143764272,0.675511472858489,0.0413518536370248,0.175387156428769,0.441895136842504,0.489921594038606,0.0203049108386040,0.576962755993009,0.336650143144652,0.890452676452696,0.732659295899794,0.678180084330961,0.779013209976256,0.959394889185205,0.138409347739071,0.237570442957804,0.440994096919894,0.652426458662376,0.569976189406589,0.395104028750211,0.486650411039591,0.724211241584271,0.867940405150875,0.556586522608995,0.559100795537233
1.51,'yes',0,0.823464307468385,0.298222874058411,0.393762656254694,0.576142837759107,0.196325982455164,0.312434524064884,0.754215527093038,0.944296082947403,0.298627067822963,0.537527383072302,0.0262901184614748,0.153239976847544,0.95918713370338,0.136511449469253,0.455260177375749,0.234108443604782,0.9031749938149,0.47652948112227,0.55690832156688,0.0118930351454765,0.961621229304,0.836012706393376,0.524851973401383,0.514884057920426,0.742323015583679,0.704410530859604,0.688670395873487,0.221390863647684,0.137277413858101,0.0181897964794189,0.0080521865747869,0.81301221321337,0.094285297440365,0.00992484134621918,0.505147172603756,0.0253034008201212,0.213591282023117,0.671655269805342,0.602710788603872,0.565005184616894,0.571145938709378,0.8739558190573,0.374841612298042,0.593270293669775,0.455140275880694,0.306550705339760,0.289743334054947,0.184939642669633,0.894903127802536,0.367623104713857
2.602,'yes',0,0.480937552638352,0.428539470070973,0.475728834513575,0.738087217556313,0.858897268073633,0.706212746212259,0.419180540833622,0.360867063049227,0.148120760452002,0.145677642431110,0.320141269592568,0.05412428220734,0.991134352982044,0.958008820191026,0.56401746883057,0.992622180143371,0.962918709497899,0.721572109730914,0.855525700841099,0.298333191778511,0.408361417939886,0.65161334676668,0.510303110582754,0.554126927861944,0.22977367346175,0.142738472437486,0.170330025022849,0.0975306874606758,0.776002129772678,0.0243275305256248,0.526245171669871,0.416286148596555,0.567568559199572,0.69003021158278,0.637272170512006,0.0837825639173388,0.953084855806082,0.504130080807954,0.754411155357957,0.315243036020547,0.144618431571871,0.985143664991483,0.6807533162646,0.645644139265642,0.279074264224619,0.185252349125221,0.95523412618786,0.932069295551628,0.754913750570267,0.35656547639519
0.757,'no ',0,0.375201412243769,0.677978489082307,0.157213409431279,0.899750316282734,0.0203291648067534,0.296436528908089,0.97676634392701,0.531074071768671,0.58750126697123,0.853511102497578,0.969658171525225,0.294166039442644,0.568857781589031,0.986882931319997,0.00964444363489747,0.915480874245986,0.234831071225926,0.141522862715647,0.679524178383872,0.908219185192138,0.989387036766857,0.66260583861731,0.235393088776618,0.824285611277446,0.329135076142848,0.063765075057745,0.0909653978887945,0.94212720869109,0.253913952969015,0.70214035618119,0.185221133753657,0.110967474756762,0.326917520258576,0.294152451213449,0.965994333149865,0.714520323555917,0.491110382601619,0.137649448588490,0.729400867829099,0.919014174025506,0.800088572083041,0.849543113261461,0.234722636872903,0.978727189358324,0.217460290296003,0.490904288832098,0.693644497543573,0.64729370479472,0.64189793751575,0.461087595671415
0.125,'yes',0,0.481773097533733,0.0930672271642834,0.82176913577132,0.444435722660273,0.82449633651413,0.0527559642214328,0.361370916943997,0.98236269922927,0.281464612577111,0.740628906991333,0.99171184329316,0.274923010263592,0.191361179808155,0.665678930701688,0.231798327527940,0.96002327860333,0.0412495285272598,0.311163886683062,0.604080740129575,0.0524843020830303,0.213819421129301,0.95920068025589,0.668739984044805,0.678720017895103,0.330256000161171,0.991453912574798,0.358023112406954,0.659117102390155,0.666999988257885,0.393121135653928,0.313201376004145,0.565142543055117,0.0348431908059865,0.420611267909408,0.864170156419277,0.285492453025654,0.0818060250021517,0.391846950398758,0.129283858695999,0.154458719072863,0.527127689914778,0.114281287649646,0.721143901580945,0.657545782392845,0.256421189522371,0.55206873617135,0.0677054647821933,0.208872829563916,0.550615653861314,0.128143513808027
0.258,'no ',0,0.686273355735466,0.127869804855436,0.423980788094923,0.267813093960285,0.30792604200542,0.46182657382451,0.992574906209484,0.720949945040047,0.620966668939218,0.428358362056315,0.245707591995597,0.643205501604825,0.992848514812067,0.82106547197327,0.097018888220191,0.597677110694349,0.165520040784031,0.842418767279014,0.93353160051629,0.689865774707869,0.257889444939792,0.165082861203700,0.101834310218692,0.00910286768339574,0.189321233192459,0.194425945635885,0.0827999233733863,0.51635737135075,0.475245284382254,0.629492216743529,0.36753266537562,0.819997192826122,0.450961672933772,0.111916950205341,0.612302801571786,0.305607405956835,0.964144838042557,0.370838005794212,0.614246161887422,0.34459294565022,0.397104715928435,0.858625494875014,0.243506791302934,0.65724285831675,0.713389571523294,0.682168009225279,0.621043666033074,0.860983875812963,0.65421343035996,0.814163142815232
3.686,'no ',0,0.933148260693997,0.867446025600657,0.602914577582851,0.84996866574511,0.441131407395005,0.346206342335790,0.97885394655168,0.462821227731183,0.610419068718329,0.836864370619878,0.592192089417949,0.444895518478006,0.801510193618014,0.568824657704681,0.684075913159177,0.144962479593232,0.578217081027105,0.894116012845188,0.745143013540655,0.871804736321792,0.167744887294248,0.034093506867066,0.506713876966387,0.935698125744238,0.567369777010754,0.646928048692644,0.273945078020915,0.269892673706636,0.516668032156304,0.565099357860163,0.600284738233313,0.629935618955642,0.0642907253932208,0.593592217424884,0.0164919944945723,0.996745691401884,0.396028834860772,0.315859783906490,0.0724900413770229,0.208717775065452,0.760091887088493,0.119678292889148,0.221663240110502,0.330758930416778,0.134904854930937,0.81465797033161,0.396399539895356,0.423401639098302,0.382087733363733,0.329128801822662
2.43,'yes',0,0.28019932936877,0.433902804041281,0.920285243075341,0.0757075459696352,0.268846963532269,0.544049927731976,0.962705314625055,0.823591573163867,0.213562555145472,0.534759229281917,0.342385915573686,0.115334135713056,0.757221098989248,0.242941188858822,0.945004659704864,0.330748989013955,0.0588819966651499,0.8804691049736,0.96796016395092,0.500739116920158,0.0605613824445754,0.495065474649891,0.901680197799578,0.144279862521216,0.983355896314606,0.40655305585824,0.389548377366737,0.791835431009531,0.953285864321515,0.0228371052071452,0.967171099968255,0.763763613300398,0.570043755462393,0.897828204324469,0.205849606543779,0.713813959388062,0.225182264111936,0.0173247000202537,0.767000280320644,0.84436206612736,0.337385778315365,0.73887213668786,0.336937529034913,0.631967548048124,0.94586655171588,0.976865204516798,0.959452259819955,0.271366394357756,0.493673285935074,0.915081739192829
